Energy (eV),e1,e2
2.259268,7.055717,1.777584
2.252743,7.068157,1.77473
2.246256,7.068123,1.763995
2.239807,7.080997,1.755936
2.233395,7.082203,1.758504
2.227019,7.102643,1.746521
2.22068,7.110717,1.739165
2.214378,7.129475,1.739887
2.208111,7.127857,1.72251
2.20188,7.139186,1.710635
2.195684,7.151517,1.704999
2.189523,7.16649,1.68884
2.183396,7.173026,1.671038
2.177305,7.195764,1.654151
2.171247,7.209805,1.638921
2.165223,7.223593,1.615201
2.159232,7.238204,1.598477
2.153275,7.232814,1.5641
2.147351,7.241604,1.546414
2.14146,7.235332,1.520582
2.135601,7.23317,1.502854
2.129774,7.237097,1.483421
2.123979,7.231503,1.46811
2.118216,7.22384,1.447693
2.112484,7.220956,1.43888
2.106784,7.209869,1.426513
2.101114,7.216575,1.415925
2.095475,7.216639,1.396492
2.089866,7.213017,1.38903
2.084288,7.206308,1.376933
2.078739,7.213396,1.367939
2.07322,7.20499,1.353652
2.067731,7.211397,1.345853
2.062271,7.209357,1.337991
2.056839,7.205217,1.325113
2.051437,7.204168,1.313103
2.046063,7.208743,1.306798
2.040717,7.209108,1.295756
2.0354,7.2063,1.281611
2.03011,7.21093,1.268101
2.024848,7.21654,1.254221
2.019613,7.206956,1.247247
2.014406,7.202794,1.236391
2.009225,7.212513,1.225545
2.004072,7.212554,1.213664
1.998945,7.212315,1.201009
1.993844,7.213931,1.194858
1.98877,7.218271,1.179971
1.983721,7.215908,1.166393
1.978698,7.209188,1.157717
1.973701,7.201287,1.147578
1.96873,7.207819,1.126965
1.963783,7.2134,1.11975
1.958862,7.206366,1.105741
1.953965,7.200548,1.094381
1.949093,7.189507,1.068546
1.944246,7.189716,1.063441
1.939422,7.184872,1.051599
1.934623,7.187962,1.041116
1.929848,7.158916,1.01828
1.925097,7.159065,1.015453
1.920369,7.141932,1.006325
1.915664,7.118514,0.999005
1.910983,7.10533,0.996704
1.906325,7.078756,0.995849
1.901689,7.064697,1.011388
1.897076,7.070131,1.023613
1.892486,7.060216,1.037531
1.887918,7.06035,1.041927
1.883373,7.051238,1.056882
1.87885,7.071682,1.059361
1.874348,7.079242,1.073162
1.869868,7.082009,1.079751
1.86541,7.09654,1.085921
1.860973,7.111557,1.08663
1.856558,7.112119,1.098497
1.852163,7.129498,1.101572
1.84779,7.135375,1.104448
1.843437,7.145595,1.108122
1.839105,7.168855,1.104011
1.834794,7.176559,1.110003
1.830503,7.195003,1.113152
1.826232,7.205194,1.110734
1.821982,7.217019,1.112532
1.817751,7.24746,1.112655
1.81354,7.264869,1.112718
1.809349,7.286259,1.109707
1.805178,7.301319,1.116241
1.801026,7.320145,1.114487
1.796893,7.351962,1.113517
1.792779,7.382903,1.112209
1.788684,7.417897,1.109346
1.784608,7.453336,1.100861
1.780551,7.503026,1.093003
1.776513,7.547949,1.087205
1.772493,7.586294,1.071721
1.768492,7.638917,1.053518
1.764508,7.710424,1.01741
1.760543,7.771156,0.975961
1.756596,7.833108,0.920673
1.752667,7.888828,0.844698
1.748755,7.918484,0.752739
1.744861,7.944353,0.64368
1.740985,7.94571,0.560476
1.737126,7.936127,0.467387
1.733284,7.905789,0.380964
1.72946,7.868256,0.30601
1.725653,7.826594,0.237906
1.721862,7.774597,0.183723
1.718089,7.726484,0.139127
1.714332,7.678392,0.102899
1.710592,7.631251,0.073526
1.706868,7.587461,0.050041
1.703161,7.549103,0.031448
1.699469,7.512081,0.016282
1.695795,7.476846,0.003373
1.692136,7.443798,0
1.688493,7.413241,0
1.684866,7.386243,0
1.681255,7.361005,0
1.67766,7.3368,0
1.67408,7.312424,0
1.670516,7.291676,0
1.666966,7.270949,0
1.663433,7.251438,0
1.659914,7.232986,0
1.656411,7.214118,0
1.652922,7.197011,0
1.649449,7.1813,0
1.64599,7.165618,0
1.642546,7.148921,0
1.639116,7.133583,0
1.635701,7.121454,0
1.6323,7.108032,0
1.628914,7.091492,0
1.625542,7.078324,0
1.622184,7.068377,0
1.618841,7.053971,0
1.615511,7.038455,0
1.612195,7.022308,0
1.608893,7.010727,0
1.605604,6.9978,0
1.60233,6.982265,0
1.599069,6.967892,0
1.595821,6.955575,0
1.592587,6.943642,0
1.589366,6.925278,0
1.586158,6.912051,0
1.582963,6.899731,0
1.579782,6.887022,0
1.576613,6.872117,0
1.573457,6.860693,0
1.570315,6.847733,0
1.567184,6.83378,0
1.564067,6.821266,0
1.560962,6.809174,0
1.55787,6.798644,0
1.55479,6.783817,0
1.551723,6.771317,0
1.548668,6.758353,0
1.545625,6.747463,0
1.542594,6.739044,0
1.539575,6.725001,0
1.536569,6.711318,0
1.533574,6.70019,0
1.530591,6.689806,0
1.52762,6.67741,0
1.524661,6.666666,0
1.521713,6.657157,0
1.518777,6.644016,0
1.515853,6.634379,0
1.51294,6.624053,0
1.510038,6.609938,0
1.507148,6.599677,0
1.504269,6.590516,0
1.501401,6.576126,0
1.498544,6.568164,0
1.495698,6.558635,0
1.492864,6.546945,0
1.49004,6.531239,0
1.487227,6.525583,0
1.484425,6.515156,0
1.481634,6.505792,0
1.478853,6.492772,0
1.476084,6.48196,0
1.473324,6.472783,0
1.470575,6.463193,0
1.467837,6.460367,0
1.465109,6.452878,0
1.462391,6.438176,0
1.459684,6.434155,0
1.456987,6.425201,0
1.4543,6.417593,0
1.451623,6.409066,0
1.448957,6.403914,0
1.4463,6.398828,0
1.443653,6.394643,0
1.441016,6.386788,0
1.438389,6.384176,0
1.435772,6.375124,0
1.433164,6.370732,0
1.430566,6.36602,0
1.427978,6.362965,0
1.425399,6.361864,0
1.42283,6.356872,0
1.42027,6.354862,0
1.41772,6.35199,0
1.415179,6.349035,0
1.412647,6.345441,0
1.410125,6.342228,0
1.407612,6.342336,0
1.405108,6.339543,0
1.402613,6.333238,0.002562
1.400127,6.333888,0.00403
1.39765,6.332589,0.007137
1.395182,6.331239,0.01412
1.392723,6.326387,0.01094
1.390273,6.330358,0.018728
1.387832,6.328566,0.020148
1.385399,6.325603,0.019025
1.382976,6.325304,0.024747
1.380561,6.327051,0.025872
1.378154,6.322156,0.030904
1.375756,6.321711,0.028411
1.373367,6.323103,0.028975
1.370986,6.323632,0.03267
1.368614,6.318481,0.035741
1.36625,6.31701,0.037977
1.363894,6.323335,0.033636
1.361547,6.320188,0.041196
1.359208,6.314257,0.0399
1.356877,6.312595,0.043886
1.354555,6.317005,0.043711
1.35224,6.310467,0.047155
1.349934,6.309622,0.045321
1.347636,6.309198,0.04694
1.345345,6.311858,0.047079
1.343063,6.30152,0.051913
1.340789,6.298103,0.05363
1.338523,6.303516,0.051202
1.336264,6.298139,0.054337
1.334014,6.292758,0.053571
1.331771,6.295839,0.056547
1.329535,6.297103,0.058225
1.327308,6.295767,0.059192
1.325088,6.29555,0.060122
1.322876,6.283884,0.059189
1.320672,6.288202,0.063504
1.318475,6.282326,0.064927
1.316285,6.28258,0.063766
1.314103,6.272233,0.062584
1.311928,6.267847,0.064866
1.309761,6.265615,0.063966
1.307601,6.271255,0.063851
1.305449,6.263572,0.062221
1.303304,6.2606,0.065105
1.301166,6.257538,0.063665
1.299035,6.247528,0.060136
1.296911,6.25143,0.060509
1.294795,6.249361,0.063055
1.292686,6.243192,0.060758
1.290583,6.24238,0.059741
1.288488,6.242035,0.059867
1.2864,6.233494,0.052758
1.284319,6.235313,0.061282
1.282244,6.23308,0.05714
1.280177,6.236597,0.062904
1.278116,6.23124,0.059109
1.276062,6.225594,0.054743
1.274016,6.229709,0.060078
1.271975,6.228749,0.061295
1.269942,6.227342,0.05844
1.267915,6.221484,0.058004
1.265895,6.222224,0.055301
1.263882,6.222756,0.053742
1.261875,6.220022,0.063244
1.259875,6.215951,0.057199
1.257881,6.215236,0.05435
1.255894,6.216335,0.051629
1.253913,6.212063,0.058281
1.251939,6.209631,0.058161
1.249971,6.209359,0.053262
1.248009,6.210124,0.054057
1.246054,6.211684,0.058509
1.244105,6.211508,0.056019
1.242163,6.210406,0.054168
1.240227,6.210321,0.052602
1.223788,6.202254,0.041407
1.219735,6.202143,0.04034
1.215708,6.197425,0.034919
1.211706,6.194836,0.036121
1.207729,6.190624,0.0318
1.203776,6.189308,0.032699
1.199848,6.183743,0.029287
1.195944,6.184035,0.027701
1.192064,6.178136,0.025021
1.188208,6.177588,0.024623
1.184376,6.172088,0.022183
1.180567,6.171298,0.021852
1.176781,6.167241,0.01821
1.173018,6.166267,0.018612
1.169278,6.160436,0.016359
1.165561,6.162585,0.014925
1.161866,6.155552,0.013044
1.158193,6.155982,0.012353
1.154542,6.151767,0.009599
1.150914,6.150172,0.009328
1.147306,6.1458,0.006866
1.143721,6.146231,0.006148
1.140156,6.142048,0.003616
1.136613,6.141366,0.002633
1.13309,6.137196,0.000821
1.129589,6.136802,0.000177
1.126108,6.131223,0
1.122647,6.131138,0
1.119207,6.126797,0
1.115787,6.128054,0
1.112386,6.124368,0
1.109006,6.123812,0
1.105645,6.119995,0
1.102303,6.120906,0
1.098981,6.117198,0
1.095678,6.117879,0
1.092394,6.113731,0
1.089128,6.114711,0
1.085881,6.110789,0
1.082653,6.110866,0
1.079443,6.105662,0
1.076252,6.106712,0
1.073078,6.102259,0
1.069922,6.103847,0
1.066784,6.100379,0
1.063664,6.101233,0
1.060561,6.09655,0
1.057476,6.097427,0
1.054408,6.093541,0
1.051357,6.09318,0
1.048322,6.089192,0
1.045305,6.089486,0
1.042304,6.085556,0
1.03932,6.086767,0
1.036353,6.08278,0
1.033401,6.083908,0
1.030466,6.079189,0
1.027547,6.081399,0
1.024644,6.078097,0
1.021756,6.078981,0
1.018885,6.072814,0
1.016029,6.076142,0
1.013188,6.071668,0
1.010363,6.073295,0
1.007552,6.069782,0
1.004757,6.068642,0
1.001977,6.066376,0
0.999212,6.068808,0
0.996462,6.064673,0
0.993726,6.066486,0
0.991005,6.061553,0
0.988298,6.063553,0
0.985605,6.059488,0
0.982927,6.061599,0
0.980263,6.056763,0
0.977613,6.059771,0
0.974977,6.054242,0
0.972354,6.056108,0
0.969746,6.050941,0
0.967151,6.052202,0
0.964569,6.049508,0
0.962001,6.049319,0
0.959446,6.044599,0
0.956904,6.045214,0
0.954376,6.040026,0.000497
0.95186,6.041077,0.001894
0.949358,6.037818,0.003165
0.946868,6.038306,0.005059
0.944391,6.032288,0.006194
0.941927,6.034079,0.008598
0.939475,6.02964,0.010687
0.937036,6.029555,0.011635
0.934609,6.025139,0.011219
0.932194,6.024929,0.013609
0.929792,6.021048,0.015085
0.927402,6.020538,0.016901
0.925023,6.015579,0.019259
0.922657,6.016308,0.021038
0.920303,6.012106,0.021705
0.91796,6.012471,0.024532
0.915629,6.00726,0.024936
0.91331,6.007644,0.027208
0.911002,6.002032,0.028891
0.908706,6.003471,0.029813
0.906421,5.99893,0.032219
0.904148,6.000015,0.035222
0.901886,5.996119,0.036075
0.899634,5.997246,0.037763
0.897394,5.992003,0.038195
0.895165,5.990379,0.040949
0.892947,5.985812,0.045215
0.89074,5.987867,0.047095
0.888543,5.984433,0.048274
0.886358,5.982832,0.052456
0.884183,5.980563,0.054263
0.882018,5.98209,0.055546
0.879864,5.979465,0.058847
0.87772,5.980897,0.062058
0.875587,5.978528,0.063515
0.873464,5.980707,0.06663
0.871351,5.978258,0.070626
0.869248,5.981639,0.07321
0.867156,5.978662,0.076818
0.865073,5.980537,0.080095
0.863001,5.980493,0.083225
0.860938,5.983885,0.085301
0.858885,5.983953,0.088064
0.856842,5.988314,0.091721
0.854808,5.990506,0.09374
0.852785,5.995102,0.097254
0.85077,5.99816,0.099452
0.848765,6.002902,0.101854
0.84677,6.006832,0.102827
0.844784,6.01163,0.107053
0.842808,6.016414,0.107931
0.84084,6.023384,0.109267
0.838882,6.028944,0.109746
0.836933,6.036808,0.10994
0.834993,6.04269,0.111215
0.833062,6.050782,0.109972
0.83114,6.059071,0.107307
0.829227,6.069354,0.104625
0.827323,6.07773,0.099962
0.825427,6.086399,0.096715
0.823541,6.094986,0.090005
0.821663,6.105017,0.081528
0.819793,6.114156,0.071001
0.817932,6.123508,0.06254
0.81608,6.132645,0.048032
0.814236,6.141236,0.035575
0.812401,6.147524,0.01762
0.810574,6.154016,0.001308
0.808755,6.161534,0
0.806945,6.165219,0
0.805142,6.167241,0
0.803348,6.165253,0
0.801562,6.15691,0
0.799784,6.138946,0
0.798014,6.091295,0
0.796252,6.023185,0
0.794498,5.96408,0
0.792752,5.942078,0
0.791013,5.922598,0
0.789283,5.915751,0
0.78756,5.907417,0
0.785845,5.907612,0
0.784137,5.90444,0
0.782437,5.906749,0
0.780744,5.90575,0
0.779059,5.910707,0
