Energy (eV),e1,e2
2.265831,10.188926,1.125529
2.259268,10.130492,1.107552
2.252743,10.107501,1.123042
2.246256,10.088633,1.110453
2.239807,10.038073,1.11838
2.233395,10.020353,1.112301
2.227019,9.969145,1.103299
2.22068,9.971629,1.10006
2.214378,9.929576,1.076373
2.208111,9.909917,1.085345
2.20188,9.892456,1.084488
2.195684,9.867329,1.076456
2.189523,9.835808,1.064907
2.183396,9.805966,1.062123
2.177305,9.778163,1.061316
2.171247,9.759201,1.061774
2.165223,9.741514,1.069829
2.159232,9.692966,1.064915
2.153275,9.679627,1.056984
2.147351,9.660759,1.064003
2.14146,9.658407,1.045619
2.135601,9.625865,1.051249
2.129774,9.610383,1.046868
2.123979,9.594625,1.043613
2.118216,9.588619,1.030337
2.112484,9.563056,1.026523
2.106784,9.553307,1.022463
2.101114,9.540359,1.024173
2.095475,9.526475,1.017648
2.089866,9.491645,1.014311
2.084288,9.456553,1.007088
2.078739,9.460883,1.008537
2.07322,9.457861,1.008579
2.067731,9.443911,0.998984
2.062271,9.417732,1.002095
2.056839,9.405387,1.008098
2.051437,9.389298,0.999417
2.046063,9.396209,0.98381
2.040717,9.380682,0.98223
2.0354,9.356076,0.977609
2.03011,9.339602,0.983741
2.024848,9.320493,0.991996
2.019613,9.325283,0.974638
2.014406,9.296202,0.97273
2.009225,9.300004,0.963581
2.004072,9.273771,0.964943
1.998945,9.258798,0.963318
1.993844,9.252987,0.969096
1.98877,9.244328,0.95607
1.983721,9.239777,0.944323
1.978698,9.24087,0.938092
1.973701,9.225001,0.940287
1.96873,9.218691,0.934252
1.963783,9.20803,0.930535
1.958862,9.197991,0.944785
1.953965,9.182611,0.936421
1.949093,9.169583,0.938404
1.944246,9.166812,0.936379
1.939422,9.165875,0.932822
1.934623,9.144631,0.933017
1.929848,9.140706,0.932511
1.925097,9.129037,0.929822
1.920369,9.115903,0.933948
1.915664,9.097226,0.922658
1.910983,9.08696,0.931642
1.906325,9.091914,0.92374
1.901689,9.087722,0.914864
1.897076,9.077052,0.912931
1.892486,9.044946,0.931088
1.887918,9.051744,0.924191
1.883373,9.075874,0.900609
1.87885,9.048374,0.898484
1.874348,9.038149,0.899605
1.869868,9.03339,0.904979
1.86541,9.037818,0.89454
1.860973,9.023313,0.892451
1.856558,9.027711,0.883839
1.852163,9.017654,0.886306
1.84779,9.008616,0.885577
1.843437,8.993503,0.868435
1.839105,8.996407,0.863894
1.834794,8.997268,0.863591
1.830503,8.985804,0.864367
1.826232,8.974386,0.861961
1.821982,8.988736,0.858771
1.817751,8.97016,0.846832
1.81354,8.961843,0.852316
1.809349,8.956946,0.85401
1.805178,8.964595,0.843916
