Energy (eV),e1,e2
5.867289,-1.529583,6.186549
5.82344,-1.574937,6.395939
5.780241,-1.64431,6.604597
5.737676,-1.699441,6.8484
5.695733,-1.739157,7.113879
5.654397,-1.747948,7.421609
5.613657,-1.732993,7.719769
5.573499,-1.695387,8.067286
5.533911,-1.588804,8.412922
5.49488,-1.451168,8.775774
5.456395,-1.254036,9.136358
5.418444,-0.970211,9.458424
5.381018,-0.666757,9.755469
5.344104,-0.352025,10.017268
5.307692,-0.013966,10.194745
5.271772,0.338371,10.395096
5.236335,0.744501,10.512109
5.201371,1.129436,10.585083
5.166869,1.505281,10.621426
5.132822,1.854115,10.640552
5.09922,2.220106,10.588494
5.066054,2.566875,10.500775
5.033317,2.829762,10.447896
5.000999,3.079843,10.279529
4.969093,3.305716,10.135462
4.937592,3.494742,10.043994
4.906486,3.656364,9.884817
4.87577,3.813853,9.742672
4.845435,3.919845,9.620046
4.815475,4.03826,9.486591
4.785883,4.136456,9.388227
4.756652,4.234149,9.258056
4.727775,4.281003,9.146829
4.699246,4.358916,9.073601
4.67106,4.399393,8.980978
4.643209,4.441564,8.897864
4.615688,4.491962,8.837713
4.588491,4.506632,8.745075
4.561612,4.513992,8.683278
4.535046,4.543366,8.661889
4.508787,4.578693,8.605391
4.48283,4.577389,8.579486
4.45717,4.608469,8.546848
4.431802,4.622941,8.501279
4.406721,4.611296,8.590152
4.381921,4.628843,8.508634
4.357399,4.660523,8.552218
4.33315,4.671111,8.510208
4.309169,4.689005,8.540324
4.285452,4.693224,8.578749
4.261994,4.716853,8.596404
4.238791,4.774883,8.66118
4.215839,4.780751,8.700241
4.193135,4.835059,8.740551
4.170673,4.852165,8.797973
4.148451,4.871638,8.874895
4.126463,4.91786,8.925482
4.104708,4.924189,9.043887
4.083181,5.012535,9.172591
4.061878,5.100935,9.249245
4.040796,5.0916,9.346646
4.019931,5.209688,9.506009
3.999282,5.337677,9.601006
3.978842,5.485002,9.714395
3.958611,5.628782,9.853458
3.938584,5.859569,9.975254
3.918759,6.087469,10.003754
3.899132,6.281915,10.090642
3.8797,6.545175,10.120015
3.860462,6.800919,10.07344
3.841413,6.949316,10.036578
3.822551,7.186213,10.007176
3.803873,7.358441,9.878975
3.785377,7.573165,9.856275
3.76706,7.703986,9.765064
3.748919,7.819308,9.693869
3.730952,7.994023,9.610125
3.713156,8.075932,9.452833
3.695529,8.188604,9.431841
3.678069,8.280272,9.340968
3.660773,8.35379,9.260215
