Energy (eV),e1,e2
5.867289,-1.421814,5.901753
5.82344,-1.451528,6.122399
5.780241,-1.428915,6.367458
5.737676,-1.411785,6.596401
5.695733,-1.344172,6.819193
5.654397,-1.257674,7.076383
5.613657,-1.148458,7.310781
5.573499,-0.983893,7.543081
5.533911,-0.800798,7.757393
5.49488,-0.591455,7.922328
5.456395,-0.38787,8.075978
5.418444,-0.136516,8.204156
5.381018,0.115515,8.299982
5.344104,0.35049,8.369697
5.307692,0.560519,8.459271
5.271772,0.780766,8.500991
5.236335,1.007757,8.496875
5.201371,1.205776,8.480633
5.166869,1.408802,8.457431
5.132822,1.594917,8.442722
5.09922,1.743639,8.410257
5.066054,1.904559,8.371503
5.033317,2.030246,8.318499
5.000999,2.134395,8.248971
4.969093,2.235879,8.224192
4.937592,2.335963,8.182329
4.906486,2.408223,8.113116
4.87577,2.494359,8.074031
4.845435,2.556311,8.045712
4.815475,2.623689,7.98193
4.785883,2.700847,7.966402
4.756652,2.756901,7.959574
4.727775,2.811917,7.919103
4.699246,2.857244,7.874319
4.67106,2.899195,7.863112
4.643209,2.929298,7.842239
4.615688,2.960216,7.829164
4.588491,2.983952,7.82109
4.561612,3.02003,7.814008
4.535046,3.045999,7.815042
4.508787,3.074197,7.835755
4.48283,3.116891,7.848024
4.45717,3.155688,7.846911
4.431802,3.162936,7.846212
4.406721,3.187567,7.89817
4.381921,3.235236,7.918771
4.357399,3.25149,7.942567
4.33315,3.294766,7.99109
4.309169,3.311877,8.000017
4.285452,3.340161,8.056154
4.261994,3.373887,8.092885
4.238791,3.407838,8.146427
4.215839,3.474863,8.234591
4.193135,3.535686,8.215905
4.170673,3.551221,8.296464
4.148451,3.588974,8.376745
4.126463,3.666366,8.457678
4.104708,3.72421,8.525146
4.083181,3.764988,8.637629
4.061878,3.849195,8.719771
4.040796,3.931674,8.78743
4.019931,4.01292,8.844956
3.999282,4.161792,8.932045
3.978842,4.292568,9.050265
3.958611,4.423436,9.057971
3.938584,4.567959,9.152537
3.918759,4.692735,9.225607
3.899132,4.841433,9.225969
3.8797,4.994878,9.234663
3.860462,5.15067,9.272613
3.841413,5.26333,9.220131
3.822551,5.407158,9.265431
3.803873,5.518939,9.231015
3.785377,5.61402,9.182276
3.76706,5.735292,9.170873
3.748919,5.834721,9.232919
3.730952,5.986475,9.190312
3.713156,6.032368,9.135429
3.695529,6.103521,9.076606
3.678069,6.194825,9.051817
3.660773,6.289091,9.027132
3.643639,6.347502,9.024946
3.626665,6.461713,9.038756
3.609848,6.527039,9.014361
3.593186,6.567184,9.040139
3.576677,6.652113,8.977667
3.560319,6.72024,9.008478
3.54411,6.818741,8.992279
3.528048,6.937212,9.065852
3.512131,7.039404,9.069031
3.496357,7.141191,9.07452
3.480724,7.233096,9.106785
3.46523,7.282733,9.109187
3.449874,7.427349,9.12579
3.434653,7.577059,9.166667
3.419566,7.731382,9.184281
3.404611,7.89688,9.098066
3.389786,8.059029,9.165356
3.375089,8.238635,9.103082
3.36052,8.434488,9.124239
3.346076,8.589404,9.007142
3.331756,8.741915,8.972023
3.317557,8.891344,8.923573
3.303479,9.014291,8.782322
3.289521,9.151636,8.703337
3.27568,9.349219,8.64028
3.261955,9.44855,8.554751
3.248344,9.543465,8.397011
3.234847,9.71098,8.337894
3.221461,9.817539,8.188377
3.208186,9.959551,8.121696
3.19502,10.060203,7.948497
3.181961,10.119178,7.842668
3.169009,10.202353,7.749573
3.156162,10.275428,7.64764
3.143419,10.35399,7.494602
3.130779,10.422682,7.369014
3.11824,10.509882,7.317199
3.1058,10.578467,7.152902
3.09346,10.585536,7.06806
3.081218,10.682424,6.944675
3.069072,10.736397,6.857261
3.057022,10.776501,6.750576
3.045066,10.848529,6.671532
3.033204,10.906213,6.543242
3.021433,10.90111,6.39735
3.009754,10.955123,6.299029
2.998165,11.037852,6.232675
2.986665,11.022581,6.146142
2.975252,11.102528,5.998307
2.963927,11.148869,5.892191
2.952688,11.178039,5.800971
2.941534,11.210666,5.658803
2.930464,11.265583,5.561018
2.919477,11.256395,5.493001
2.908572,11.347095,5.402406
2.897749,11.326057,5.261807
2.887006,11.361149,5.174254
2.876342,11.366276,5.059514
2.865757,11.40854,4.969533
2.85525,11.434765,4.871097
2.84482,11.49107,4.787372
2.834466,11.420357,4.633109
2.824187,11.498598,4.560722
2.813982,11.526966,4.439951
2.803851,11.565027,4.346161
2.793793,11.560965,4.255703
2.783807,11.527838,4.12266
2.773893,11.573258,4.01616
2.764048,11.60949,3.935051
2.754274,11.634786,3.794694
2.744569,11.555052,3.675349
2.734932,11.550709,3.588048
2.725362,11.550209,3.43419
2.71586,11.578056,3.394077
2.706423,11.577051,3.277968
2.697052,11.559621,3.175947
2.687747,11.541192,3.071282
2.678505,11.542284,2.964067
2.669326,11.480378,2.818893
2.660211,11.515414,2.744653
2.651158,11.488341,2.648686
2.642166,11.422523,2.498413
2.633235,11.41955,2.41242
2.624365,11.304952,2.292266
2.615554,11.212474,2.22404
2.606803,11.221387,2.096518
2.598109,11.146726,2.009708
2.589475,11.069609,1.892983
2.580897,11.051731,1.853676
2.572376,10.926616,1.720707
2.563911,10.886372,1.675429
2.555503,10.843191,1.600168
2.547149,10.713779,1.526599
2.53885,10.642618,1.469202
2.530605,10.563526,1.420462
2.522414,10.471146,1.382018
2.514275,10.38568,1.348277
2.506189,10.357052,1.298288
2.498156,10.227446,1.279194
2.490174,10.175099,1.249485
2.482242,10.097934,1.213905
2.474361,10.080831,1.22566
2.466531,9.993461,1.177657
2.45875,9.945727,1.171312
2.451018,9.893242,1.14449
2.443335,9.836705,1.135017
2.4357,9.772371,1.130301
2.428112,9.718203,1.131933
2.420573,9.69116,1.120346
2.41308,9.639469,1.113538
2.405633,9.600013,1.098511
2.398232,9.540552,1.103443
2.390877,9.518915,1.074201
2.383568,9.48901,1.077402
2.376302,9.436473,1.082444
2.369082,9.390916,1.068297
2.361905,9.35678,1.076957
2.354772,9.34717,1.066581
2.347682,9.317691,1.042654
2.340634,9.297668,1.045285
2.333629,9.279449,1.040109
2.326667,9.219172,1.037646
2.319746,9.192865,1.034361
2.312865,9.184509,1.035699
2.306026,9.13249,1.025793
2.299228,9.105808,1.020497
2.292469,9.090221,1.027032
2.285751,9.080993,1.013632
2.279072,9.04947,0.994875
2.272432,9.035165,0.998193
2.265831,9.018184,0.982163
2.259268,9.004087,0.963847
2.252743,8.973004,0.957685
2.246256,8.947639,0.949037
2.239807,8.914767,0.93652
2.233395,8.901731,0.937366
2.227019,8.86987,0.934657
2.22068,8.847993,0.929537
2.214378,8.829834,0.921266
2.208111,8.800947,0.919426
2.20188,8.790355,0.901955
2.195684,8.76569,0.899008
2.189523,8.732746,0.906241
2.183396,8.705475,0.904837
2.177305,8.686852,0.902785
2.171247,8.700894,0.886678
2.165223,8.670853,0.87857
2.159232,8.639524,0.879835
2.153275,8.63025,0.87615
2.147351,8.620504,0.88395
2.14146,8.592654,0.86692
2.135601,8.580162,0.866389
2.129774,8.552568,0.872874
2.123979,8.559199,0.862638
2.118216,8.53556,0.872701
2.112484,8.519818,0.869716
2.106784,8.49214,0.86795
2.101114,8.488501,0.865947
2.095475,8.467003,0.863203
2.089866,8.467257,0.860463
2.084288,8.459318,0.852658
2.078739,8.434817,0.84483
2.07322,8.41702,0.847164
2.067731,8.416853,0.844658
2.062271,8.38009,0.845486
2.056839,8.37985,0.845274
2.051437,8.366932,0.838357
2.046063,8.356827,0.835067
2.040717,8.346269,0.847354
2.0354,8.333318,0.849265
2.03011,8.31397,0.846492
2.024848,8.316319,0.83877
2.019613,8.29583,0.830273
2.014406,8.284526,0.837342
2.009225,8.276035,0.834135
2.004072,8.27226,0.835331
1.998945,8.268679,0.823647
1.993844,8.267009,0.828224
1.98877,8.260315,0.823142
1.983721,8.24509,0.823367
1.978698,8.233227,0.82351
1.973701,8.21431,0.82566
1.96873,8.213558,0.822084
1.963783,8.211192,0.820663
1.958862,8.197211,0.817283
1.953965,8.191391,0.817721
1.949093,8.186026,0.819111
1.944246,8.165812,0.819613
1.939422,8.17776,0.815207
1.934623,8.161263,0.818161
1.929848,8.155025,0.815703
