Energy (eV),e1,e2
2.259268,8.632806,1.17408
2.252743,8.620023,1.17666
2.246256,8.606704,1.171088
2.239807,8.589127,1.16053
2.233395,8.588222,1.155512
2.227019,8.574084,1.142173
2.22068,8.55114,1.142114
2.214378,8.550754,1.140007
2.208111,8.519282,1.130056
2.20188,8.510371,1.115976
2.195684,8.505273,1.115656
2.189523,8.504338,1.098005
2.183396,8.49247,1.100401
2.177305,8.454981,1.082041
2.171247,8.451372,1.073793
2.165223,8.427373,1.078338
2.159232,8.415181,1.062316
2.153275,8.390971,1.057935
2.147351,8.384254,1.056054
2.14146,8.381716,1.049619
2.135601,8.361278,1.039279
2.129774,8.338426,1.034149
2.123979,8.323009,1.027308
2.118216,8.300235,1.029785
2.112484,8.30097,1.019096
2.106784,8.293786,1.014497
2.101114,8.274145,1.015939
2.095475,8.265051,1.009365
2.089866,8.252055,1.015366
2.084288,8.249558,0.998834
2.078739,8.24051,0.999906
2.07322,8.217602,1.001639
2.067731,8.204609,0.993964
2.062271,8.189543,0.996822
2.056839,8.167619,0.995473
2.051437,8.175283,0.993569
2.046063,8.153714,0.995419
2.040717,8.137845,0.988155
2.0354,8.157164,0.989499
2.03011,8.138413,0.981709
2.024848,8.132674,0.985782
2.019613,8.112382,0.978033
2.014406,8.100838,0.977311
2.009225,8.088432,0.980382
2.004072,8.094949,0.976516
1.998945,8.093187,0.974493
1.993844,8.070383,0.977206
1.98877,8.064933,0.977334
1.983721,8.055043,0.975963
1.978698,8.050025,0.974038
1.973701,8.034244,0.970422
1.96873,8.046941,0.966747
1.963783,8.0356,0.965884
1.958862,8.022879,0.959009
1.953965,8.024981,0.966375
1.949093,8.017161,0.958343
1.944246,8.000377,0.958272
1.939422,8.001156,0.951057
1.934623,7.999888,0.952638
1.929848,7.99194,0.953419
1.925097,7.981231,0.953226
1.920369,7.98167,0.955431
1.915664,7.97683,0.950726
1.910983,7.960948,0.953653
1.906325,7.961765,0.950658
1.901689,7.960815,0.944826
1.897076,7.954491,0.942475
1.892486,7.948818,0.949643
1.887918,7.949582,0.941326
1.883373,7.946334,0.938855
1.87885,7.940747,0.939876
1.874348,7.918797,0.934845
1.869868,7.939134,0.936974
1.86541,7.93028,0.927799
1.860973,7.917836,0.929824
1.856558,7.914052,0.923955
1.852163,7.911994,0.92411
1.84779,7.919216,0.925409
1.843437,7.898386,0.924575
1.839105,7.8944,0.916596
1.834794,7.89283,0.922267
1.830503,7.891946,0.918718
1.826232,7.901973,0.915182
1.821982,7.896198,0.909799
1.817751,7.901219,0.920566
1.81354,7.885398,0.912623
1.809349,7.883849,0.907394
1.805178,7.88122,0.905504
1.801026,7.870971,0.907902
1.796893,7.885907,0.903861
1.792779,7.869926,0.905622
1.788684,7.866796,0.900531
1.784608,7.863906,0.898767
1.780551,7.864303,0.885235
1.776513,7.86294,0.893287
1.772493,7.866268,0.892584
1.768492,7.865014,0.888795
1.764508,7.851755,0.888041
1.760543,7.858404,0.885043
1.756596,7.855092,0.881711
1.752667,7.854972,0.883677
1.748755,7.848525,0.880103
1.744861,7.853727,0.872417
1.740985,7.839643,0.872496
1.737126,7.839803,0.877206
1.733284,7.840262,0.869674
1.72946,7.838738,0.870223
1.725653,7.834529,0.87216
1.721862,7.84414,0.864504
1.718089,7.83078,0.8653
1.714332,7.829203,0.868244
1.710592,7.826781,0.865163
1.706868,7.831964,0.856236
1.703161,7.833214,0.854667
1.699469,7.833138,0.85696
1.695795,7.821811,0.851786
1.692136,7.830022,0.849336
1.688493,7.833362,0.849505
1.684866,7.822659,0.841797
1.681255,7.82888,0.841118
1.67766,7.826624,0.842151
1.67408,7.830528,0.836397
1.670516,7.833133,0.83801
1.666966,7.840494,0.834716
1.663433,7.839576,0.828137
1.659914,7.831321,0.832364
1.656411,7.830552,0.826603
1.652922,7.815555,0.819552
1.649449,7.814167,0.824187
1.64599,7.826224,0.820846
1.642546,7.82455,0.821337
1.639116,7.827681,0.81999
1.635701,7.815182,0.814753
1.6323,7.804747,0.806984
1.628914,7.811671,0.804901
1.625542,7.801919,0.805499
1.622184,7.816504,0.80501
1.618841,7.812649,0.79897
1.615511,7.823893,0.792736
1.612195,7.821725,0.798012
1.608893,7.825765,0.792589
1.605604,7.826334,0.786239
1.60233,7.830625,0.790165
1.599069,7.825665,0.785448
1.595821,7.8205,0.785272
1.592587,7.823284,0.779714
1.589366,7.825955,0.775667
1.586158,7.827206,0.781622
1.582963,7.824942,0.772467
1.579782,7.827687,0.769101
1.576613,7.845458,0.765798
1.573457,7.839512,0.76212
1.570315,7.841119,0.75847
1.567184,7.846901,0.756148
1.564067,7.831654,0.754042
1.560962,7.84704,0.748192
1.55787,7.838872,0.746702
1.55479,7.840091,0.746614
1.551723,7.836011,0.741102
1.548668,7.835394,0.741366
1.545625,7.853343,0.742638
1.542594,7.855148,0.737203
1.539575,7.842532,0.726842
1.536569,7.842921,0.724867
1.533574,7.844895,0.720481
1.530591,7.865476,0.719963
1.52762,7.846036,0.713915
1.524661,7.861636,0.712302
1.521713,7.855068,0.711226
1.518777,7.858642,0.703913
1.515853,7.863329,0.693672
1.51294,7.878907,0.703913
1.510038,7.877573,0.695542
1.507148,7.872031,0.691212
1.504269,7.884649,0.685114
1.501401,7.88313,0.67505
1.498544,7.878536,0.678242
1.495698,7.888001,0.671657
1.492864,7.896846,0.671409
1.49004,7.893369,0.664409
1.487227,7.892886,0.662124
1.484425,7.900451,0.663749
1.481634,7.900622,0.660395
1.478853,7.913358,0.657995
1.476084,7.913003,0.650526
1.473324,7.906898,0.644171
1.470575,7.92032,0.644398
1.467837,7.922179,0.646219
1.465109,7.926336,0.639056
1.462391,7.953402,0.63199
1.459684,7.951873,0.632912
1.456987,7.965455,0.62943
1.4543,7.960648,0.621011
1.451623,7.963671,0.621931
1.448957,7.977306,0.612833
1.4463,7.986996,0.60597
1.443653,8.009639,0.591774
1.441016,8.024899,0.580319
1.438389,8.035535,0.572505
1.435772,8.057848,0.56336
1.433164,8.068948,0.548736
1.430566,8.085333,0.53936
1.427978,8.098094,0.519637
1.425399,8.116177,0.504661
1.42283,8.124176,0.481231
1.42027,8.137976,0.461751
1.41772,8.139883,0.441301
1.415179,8.164717,0.415151
1.412647,8.177233,0.385836
1.410125,8.184345,0.355156
1.407612,8.191321,0.326292
1.405108,8.197061,0.29439
1.402613,8.187563,0.258386
1.400127,8.189856,0.23139
1.39765,8.184627,0.204424
1.395182,8.171305,0.175341
1.392723,8.159262,0.143018
1.390273,8.148821,0.128173
1.387832,8.130487,0.107688
1.385399,8.10717,0.087068
1.382976,8.089124,0.068471
1.380561,8.069264,0.057588
1.378154,8.039272,0.041821
1.375756,8.017284,0.02698
1.373367,7.996193,0.01559
1.370986,7.974245,0.009013
1.368614,7.946219,0
1.36625,7.927308,0
1.363894,7.911312,0
1.361547,7.891917,0
1.359208,7.870337,0
1.356877,7.858869,0
1.354555,7.846978,0
1.35224,7.829405,0
1.349934,7.813462,0
1.347636,7.805163,0
1.345345,7.796761,0
1.343063,7.781882,0
1.340789,7.772049,0
1.338523,7.763765,0
1.336264,7.756733,0
1.334014,7.74366,0.002163
1.331771,7.733929,0.001378
1.329535,7.729099,0.003357
1.327308,7.720508,0.007927
1.325088,7.706967,0.009162
1.322876,7.69757,0.008309
1.320672,7.693242,0.009783
1.318475,7.678604,0.01342
1.316285,7.662938,0.010653
1.314103,7.655643,0.008963
1.311928,7.643457,0.008946
1.309761,7.629959,0.007514
1.307601,7.621605,0.004779
1.305449,7.615567,0.00506
1.303304,7.607097,0.00436
1.301166,7.595897,0.00371
1.299035,7.589382,0
1.296911,7.586336,0
1.294795,7.579496,0
1.292686,7.570524,0
1.290583,7.566686,0
1.288488,7.567056,0
1.2864,7.559617,0
1.284319,7.551937,0
1.282244,7.548647,0
1.280177,7.549879,0
1.278116,7.54425,0.001835
1.276062,7.538586,0.00281
1.274016,7.534891,0.002603
1.271975,7.536583,0.004611
1.269942,7.5318,0.008733
1.267915,7.526745,0.011692
1.265895,7.523553,0.012924
1.263882,7.52266,0.014096
1.261875,7.521831,0.021487
1.259875,7.51306,0.024
1.257881,7.50798,0.025917
1.255894,7.505428,0.027521
1.253913,7.502501,0.033526
1.251939,7.491634,0.035545
1.249971,7.484801,0.034192
1.248009,7.48139,0.030897
1.246054,7.478577,0.032633
1.244105,7.472619,0.033478
1.242163,7.464369,0.033814
1.240227,7.459192,0.032094
1.223788,7.425807,0
1.219735,7.418249,0
1.215708,7.404638,0
1.211706,7.397854,0
1.207729,7.385284,0
1.203776,7.380497,0
1.199848,7.369982,0
1.195944,7.366637,0
1.192064,7.356352,0
1.188208,7.354306,0
1.184376,7.346329,0
1.180567,7.34489,0
1.176781,7.337934,0
1.173018,7.336847,0
1.169278,7.329432,0
1.165561,7.328403,0
1.161866,7.321266,0
1.158193,7.319159,0
1.154542,7.311094,0
1.150914,7.308057,0
1.147306,7.298441,0
1.143721,7.295287,0
1.140156,7.284312,0
1.136613,7.280671,0
1.13309,7.269984,0
1.129589,7.266362,0
1.126108,7.256086,0
1.122647,7.252953,0
1.119207,7.243415,0
1.115787,7.240654,0
1.112386,7.232308,0
1.109006,7.229926,0
1.105645,7.222668,0
1.102303,7.221039,0
1.098981,7.2144,0
1.095678,7.213569,0
1.092394,7.20718,0
1.089128,7.206664,0
1.085881,7.201618,0
1.082653,7.201139,0
1.079443,7.196125,0
1.076252,7.1962,0
1.073078,7.190441,0
1.069922,7.189649,0
1.066784,7.183996,0
1.063664,7.182939,0
1.060561,7.176848,0
1.057476,7.175897,0
1.054408,7.168533,0
1.051357,7.167072,0
1.048322,7.159113,0
1.045305,7.157855,0
1.042304,7.150237,0
1.03932,7.148718,0
1.036353,7.141539,0
1.033401,7.13948,0
1.030466,7.132096,0
1.027547,7.130524,0
1.024644,7.123434,0
1.021756,7.121664,0
1.018885,7.115146,0
1.016029,7.114368,0
1.013188,7.108116,0
1.010363,7.107276,0
1.007552,7.101209,0
1.004757,7.101891,0
1.001977,7.096176,0
0.999212,7.095748,0
0.996462,7.090793,0
0.993726,7.090923,0
0.991005,7.086373,0
0.988298,7.087134,0
0.985605,7.083891,0
0.982927,7.085395,0
0.980263,7.082692,0
0.977613,7.083588,0
0.974977,7.078622,0
0.972354,7.078557,0
0.969746,7.073619,0
0.967151,7.07466,0
0.964569,7.069222,0
