Energy (eV),e1,e2
5.867289,0.964621,5.120873
5.82344,0.979983,5.153445
5.780241,0.976572,5.159184
5.737676,0.980234,5.203402
5.695733,0.978006,5.235195
5.654397,0.996035,5.281334
5.613657,0.992033,5.330314
5.573499,0.985398,5.387868
5.533911,0.994449,5.454828
5.49488,0.998507,5.523835
5.456395,1.015081,5.592971
5.418444,1.037618,5.66367
5.381018,1.072297,5.745592
5.344104,1.097764,5.822123
5.307692,1.120583,5.902372
5.271772,1.165187,5.986917
5.236335,1.197072,6.059638
5.201371,1.234438,6.147429
5.166869,1.279208,6.226596
5.132822,1.318115,6.293865
5.09922,1.364934,6.403571
5.066054,1.411623,6.485633
5.033317,1.446714,6.583793
5.000999,1.494743,6.694099
4.969093,1.551672,6.784245
4.937592,1.616708,6.896149
4.906486,1.690049,6.989972
4.87577,1.770555,7.081016
4.845435,1.854316,7.190887
4.815475,1.961597,7.283292
4.785883,2.058663,7.399144
4.756652,2.186569,7.499546
4.727775,2.303255,7.589708
4.699246,2.421748,7.659559
4.67106,2.577932,7.714258
4.643209,2.698807,7.779409
4.615688,2.828256,7.850182
4.588491,2.992249,7.92043
4.561612,3.100062,7.932529
4.535046,3.227968,7.983012
4.508787,3.382448,7.999956
4.48283,3.49655,8.004001
4.45717,3.667075,8.084674
4.431802,3.783383,8.103136
4.406721,3.917425,8.06944
4.381921,4.02232,8.077164
4.357399,4.173584,8.10745
4.33315,4.324162,8.128876
4.309169,4.44817,8.137173
4.285452,4.592165,8.134888
4.261994,4.744706,8.135369
4.238791,4.900962,8.162297
4.215839,5.062614,8.138182
4.193135,5.208868,8.084299
4.170673,5.385142,8.062407
4.148451,5.519665,7.991906
4.126463,5.67087,7.971426
4.104708,5.792756,7.895681
4.083181,5.927667,7.844199
4.061878,6.043842,7.777907
4.040796,6.156459,7.72946
4.019931,6.27091,7.666595
3.999282,6.376454,7.595313
3.978842,6.475065,7.531672
3.958611,6.573038,7.437102
3.938584,6.644341,7.307681
3.918759,6.754789,7.318532
3.899132,6.815243,7.228007
3.8797,6.924982,7.143201
3.860462,6.978545,7.059934
3.841413,7.056373,6.980102
3.822551,7.137727,6.910924
3.803873,7.178794,6.836915
3.785377,7.219172,6.765325
3.76706,7.289514,6.693434
3.748919,7.353346,6.637449
3.730952,7.409411,6.537037
3.713156,7.464918,6.48572
3.695529,7.507559,6.418016
3.678069,7.573366,6.32777
3.660773,7.616582,6.275592
3.643639,7.661041,6.17579
3.626665,7.716472,6.09244
3.609848,7.721584,6.016569
3.593186,7.812572,5.982791
3.576677,7.829726,5.912055
3.560319,7.892246,5.852885
3.54411,7.928989,5.777791
3.528048,7.92377,5.68148
3.512131,7.95148,5.639098
3.496357,7.998655,5.553987
3.480724,8.022159,5.515881
3.46523,8.044768,5.431964
3.449874,8.052991,5.351851
3.434653,8.118735,5.331213
3.419566,8.114552,5.228845
3.404611,8.155633,5.171948
3.389786,8.137599,5.100931
3.375089,8.165368,5.044876
3.36052,8.21979,5.01163
3.346076,8.184689,4.904515
3.331756,8.209562,4.846303
3.317557,8.216685,4.798964
3.303479,8.245035,4.763287
3.289521,8.245861,4.715933
3.27568,8.261549,4.623406
3.261955,8.245379,4.56527
3.248344,8.256315,4.502283
3.234847,8.254953,4.440053
3.221461,8.308438,4.441294
3.208186,8.341277,4.3572
3.19502,8.319392,4.287456
3.181961,8.32998,4.233516
3.169009,8.345067,4.202466
3.156162,8.328016,4.150145
3.143419,8.326622,4.132027
3.130779,8.316916,4.058849
3.11824,8.338463,4.02171
3.1058,8.337378,3.965065
3.09346,8.356593,3.949807
3.081218,8.326056,3.900394
3.069072,8.330647,3.810546
3.057022,8.344399,3.798326
3.045066,8.367345,3.75439
3.033204,8.343538,3.71918
3.021433,8.366057,3.682865
3.009754,8.31894,3.631072
2.998165,8.330304,3.61218
2.986665,8.35025,3.571124
2.975252,8.334315,3.517674
2.963927,8.31938,3.489652
2.952688,8.329221,3.447102
2.941534,8.326114,3.415538
2.930464,8.338169,3.366195
2.919477,8.340866,3.347827
2.908572,8.330772,3.303942
2.897749,8.323265,3.259403
2.887006,8.320808,3.224802
2.876342,8.328815,3.197215
2.865757,8.322035,3.151569
2.85525,8.333115,3.130302
2.84482,8.337352,3.119129
2.834466,8.345523,3.074719
2.824187,8.319416,3.035092
2.813982,8.300981,3.023581
2.803851,8.298249,2.966159
2.793793,8.309263,2.943119
2.783807,8.298139,2.909427
2.773893,8.284964,2.890249
2.764048,8.283235,2.861014
2.754274,8.289738,2.83007
2.744569,8.285653,2.813222
2.734932,8.281978,2.771312
2.725362,8.27148,2.750174
2.71586,8.294026,2.72497
2.706423,8.279607,2.70617
2.697052,8.277658,2.674797
2.687747,8.272247,2.632251
2.678505,8.27529,2.625068
2.669326,8.269733,2.584131
2.660211,8.25312,2.560434
2.651158,8.256729,2.543397
2.642166,8.232864,2.499489
2.633235,8.227918,2.479116
2.624365,8.212484,2.451159
2.615554,8.207638,2.438978
2.606803,8.209478,2.425549
2.598109,8.223149,2.412194
2.589475,8.197586,2.378968
2.580897,8.185404,2.36588
2.572376,8.195621,2.336391
2.563911,8.175982,2.302898
2.555503,8.181018,2.302693
2.547149,8.1848,2.273543
2.53885,8.170344,2.256138
2.530605,8.153214,2.228187
2.522414,8.161098,2.223657
2.514275,8.141946,2.20242
2.506189,8.13658,2.176576
2.498156,8.126597,2.161823
2.490174,8.141165,2.132701
2.482242,8.125679,2.126972
2.474361,8.106222,2.107415
2.466531,8.097434,2.068628
2.45875,8.104874,2.066709
2.451018,8.11727,2.050661
2.443335,8.097405,2.034573
2.4357,8.083077,2.021392
2.428112,8.084652,2.003244
2.420573,8.067389,1.992156
2.41308,8.05729,1.973345
2.405633,8.079869,1.954237
2.398232,8.049819,1.929685
2.390877,8.044246,1.928714
2.383568,8.032387,1.905525
2.376302,8.031898,1.902647
2.369082,8.031979,1.888807
2.361905,8.028606,1.875462
2.354772,8.018131,1.864932
2.347682,8.006266,1.825173
2.340634,8.01181,1.832673
2.333629,8.028339,1.825908
2.326667,8.00369,1.809685
2.319746,7.992207,1.785667
2.312865,8.001783,1.789211
2.306026,8.001681,1.766516
2.299228,7.994678,1.766119
2.292469,7.980968,1.74272
2.285751,7.991459,1.723922
2.279072,7.99964,1.735826
2.272432,7.979631,1.714085
2.265831,7.970699,1.696534
2.259268,7.967064,1.682384
2.252743,7.970403,1.666553
2.246256,7.968775,1.660074
2.239807,7.964945,1.65181
2.233395,7.980981,1.635901
2.227019,7.973133,1.630421
2.22068,7.980541,1.606826
2.214378,7.984314,1.593054
