Energy (eV),e1,e2
5.867289,-0.441299,6.502915
5.82344,-0.322122,6.653715
5.780241,-0.230047,6.772351
5.737676,-0.059562,6.877865
5.695733,0.082869,6.950423
5.654397,0.244457,7.055298
5.613657,0.380985,7.090486
5.573499,0.510217,7.131473
5.533911,0.641269,7.160773
5.49488,0.767091,7.182547
5.456395,0.896679,7.183541
5.418444,1.026302,7.201637
5.381018,1.121368,7.205781
5.344104,1.225479,7.217521
5.307692,1.294138,7.218141
5.271772,1.371209,7.226166
5.236335,1.455153,7.217795
5.201371,1.526398,7.229976
5.166869,1.600971,7.218886
5.132822,1.670839,7.233133
5.09922,1.737509,7.23727
5.066054,1.770287,7.254367
5.033317,1.835481,7.255206
5.000999,1.869841,7.26867
4.969093,1.943364,7.296391
4.937592,1.980122,7.332756
4.906486,2.006878,7.334712
4.87577,2.046051,7.351184
4.845435,2.093764,7.387719
4.815475,2.140206,7.417904
4.785883,2.175688,7.432365
4.756652,2.243242,7.456172
4.727775,2.294708,7.494546
4.699246,2.351242,7.5085
4.67106,2.372586,7.545189
4.643209,2.421854,7.591711
4.615688,2.456876,7.632103
4.588491,2.4981,7.642973
4.561612,2.522972,7.702405
4.535046,2.585039,7.759232
4.508787,2.631165,7.770377
4.48283,2.679594,7.835694
4.45717,2.735806,7.899374
4.431802,2.777005,7.931692
4.406721,2.81685,8.023288
4.381921,2.874938,8.034357
4.357399,2.943497,8.116342
4.33315,2.992767,8.171298
4.309169,3.098081,8.249345
4.285452,3.171197,8.308784
4.261994,3.248891,8.362009
4.238791,3.349559,8.425263
4.215839,3.448276,8.500235
4.193135,3.520201,8.575863
4.170673,3.637253,8.617585
4.148451,3.741661,8.664754
4.126463,3.850418,8.740714
4.104708,3.950852,8.777764
4.083181,4.100382,8.859503
4.061878,4.188264,8.876936
4.040796,4.323533,8.879846
4.019931,4.417461,8.941043
3.999282,4.585873,8.958911
3.978842,4.679203,8.95613
3.958611,4.811575,8.984575
3.938584,4.942941,8.980541
3.918759,5.052994,8.975808
3.899132,5.169286,8.954345
3.8797,5.278107,8.948895
3.860462,5.390818,8.94986
3.841413,5.5018,8.95927
3.822551,5.578034,8.8872
3.803873,5.759091,8.921623
3.785377,5.803863,8.917779
3.76706,5.896059,8.941048
3.748919,5.98928,8.851067
3.730952,6.094084,8.877527
3.713156,6.179761,8.83402
3.695529,6.296846,8.838332
3.678069,6.414192,8.874871
3.660773,6.487134,8.792976
3.643639,6.626043,8.781839
3.626665,6.676423,8.785776
3.609848,6.801388,8.767177
3.593186,6.87725,8.743232
3.576677,6.994513,8.767625
