Energy (eV),e1,e2
5.867289,0.553864,6.301967
5.82344,0.631271,6.347301
5.780241,0.735154,6.430592
5.737676,0.814552,6.452668
5.695733,0.896561,6.504008
5.654397,0.980836,6.533684
5.613657,1.037239,6.558402
5.573499,1.119338,6.596202
5.533911,1.185154,6.621867
5.49488,1.23283,6.653835
5.456395,1.298994,6.670955
5.418444,1.36325,6.727035
5.381018,1.428506,6.762118
5.344104,1.468341,6.789112
5.307692,1.509391,6.808553
5.271772,1.55795,6.851978
5.236335,1.60942,6.895734
5.201371,1.676462,6.952657
5.166869,1.733052,6.970238
5.132822,1.770927,7.027935
5.09922,1.829575,7.074059
5.066054,1.876856,7.120824
5.033317,1.919602,7.183452
5.000999,1.962832,7.22266
4.969093,2.022989,7.280107
4.937592,2.049556,7.331035
4.906486,2.097582,7.38391
4.87577,2.161329,7.475891
4.845435,2.224313,7.509254
4.815475,2.286095,7.578871
4.785883,2.348372,7.65128
4.756652,2.417878,7.680643
4.727775,2.487379,7.764377
4.699246,2.573338,7.808891
4.67106,2.657279,7.895029
4.643209,2.727483,7.959722
4.615688,2.800228,8.029799
4.588491,2.860737,8.110846
4.561612,2.946044,8.172176
4.535046,3.035162,8.242206
4.508787,3.133043,8.282277
4.48283,3.239652,8.333944
4.45717,3.313857,8.379488
4.431802,3.416894,8.481787
4.406721,3.535596,8.514525
4.381921,3.621943,8.546433
4.357399,3.758967,8.605927
4.33315,3.908573,8.682859
4.309169,4.016767,8.740253
4.285452,4.142329,8.812205
4.261994,4.271631,8.846749
4.238791,4.431239,8.885328
4.215839,4.563408,8.896751
4.193135,4.72306,8.938176
4.170673,4.88573,8.975724
4.148451,5.048975,8.983635
4.126463,5.185557,9.005638
4.104708,5.349103,8.969064
4.083181,5.505105,8.99778
4.061878,5.651578,8.974453
4.040796,5.805953,8.935751
4.019931,5.922552,8.919534
3.999282,6.076377,8.841407
3.978842,6.219584,8.836541
3.958611,6.355342,8.786677
3.938584,6.486112,8.748103
3.918759,6.644338,8.723173
3.899132,6.736425,8.633323
3.8797,6.87205,8.619733
3.860462,6.999282,8.552354
3.841413,7.12818,8.498853
3.822551,7.212949,8.431728
3.803873,7.332172,8.340358
3.785377,7.439706,8.313381
3.76706,7.515305,8.247489
3.748919,7.615796,8.182953
3.730952,7.688348,8.114421
3.713156,7.834936,8.040982
3.695529,7.941027,7.996
3.678069,8.025541,7.899107
3.660773,8.069262,7.824238
3.643639,8.204009,7.768686
3.626665,8.290977,7.703568
3.609848,8.360716,7.628362
3.593186,8.474494,7.47903
3.576677,8.541986,7.422699
3.560319,8.593357,7.352703
3.54411,8.688974,7.290577
3.528048,8.757448,7.18674
3.512131,8.823137,7.093439
3.496357,8.884593,7.048791
3.480724,8.928506,6.946302
3.46523,9.026903,6.871806
3.449874,9.049143,6.763296
3.434653,9.120322,6.663858
3.419566,9.148217,6.595912
3.404611,9.232944,6.519864
3.389786,9.253881,6.378968
3.375089,9.330463,6.31274
3.36052,9.335999,6.218143
3.346076,9.400523,6.139965
3.331756,9.421149,6.047573
3.317557,9.448756,5.989618
3.303479,9.461958,5.907077
3.289521,9.488017,5.786432
3.27568,9.535095,5.703145
3.261955,9.549377,5.620638
3.248344,9.548688,5.508804
3.234847,9.599558,5.430727
3.221461,9.647454,5.355701
3.208186,9.650588,5.300284
3.19502,9.667528,5.212733
3.181961,9.68441,5.116021
3.169009,9.670889,5.047918
3.156162,9.673613,4.976242
3.143419,9.720469,4.908615
3.130779,9.697038,4.84023
3.11824,9.716667,4.773096
3.1058,9.717557,4.701234
3.09346,9.753486,4.646837
3.081218,9.724089,4.580817
3.069072,9.76265,4.531375
3.057022,9.727682,4.45639
3.045066,9.782395,4.379044
3.033204,9.754859,4.30433
3.021433,9.766973,4.25049
3.009754,9.766975,4.188113
2.998165,9.722197,4.112843
2.986665,9.762037,4.037939
2.975252,9.760295,4.00988
2.963927,9.762492,3.936565
2.952688,9.756132,3.888311
2.941534,9.779152,3.807469
2.930464,9.792671,3.753858
2.919477,9.755228,3.688527
2.908572,9.775063,3.636711
2.897749,9.769444,3.548527
2.887006,9.769124,3.538354
2.876342,9.752214,3.469823
2.865757,9.737432,3.422086
2.85525,9.736762,3.357838
2.84482,9.757303,3.329477
2.834466,9.741969,3.248928
2.824187,9.709579,3.196844
2.813982,9.712477,3.163627
2.803851,9.73199,3.10691
2.793793,9.721552,3.032257
2.783807,9.690615,2.985283
2.773893,9.692901,2.906349
2.764048,9.688617,2.904438
2.754274,9.657688,2.824971
2.744569,9.673125,2.792457
2.734932,9.638815,2.726243
2.725362,9.630404,2.67336
2.71586,9.622206,2.616595
2.706423,9.580706,2.579376
2.697052,9.593264,2.541301
2.687747,9.570396,2.476858
2.678505,9.594748,2.428763
2.669326,9.550544,2.393253
2.660211,9.544978,2.358642
2.651158,9.48588,2.296573
2.642166,9.482001,2.268127
2.633235,9.457301,2.213927
2.624365,9.43501,2.16771
2.615554,9.417003,2.160761
2.606803,9.401465,2.110494
2.598109,9.330388,2.054219
2.589475,9.308766,2.032663
2.580897,9.341325,1.988563
2.572376,9.287331,1.961674
2.563911,9.274734,1.930021
2.555503,9.252661,1.898734
2.547149,9.238067,1.851487
2.53885,9.222465,1.829572
2.530605,9.17541,1.805328
2.522414,9.137925,1.783506
2.514275,9.115131,1.756273
2.506189,9.072856,1.712229
2.498156,9.0697,1.700451
2.490174,9.044171,1.685882
2.482242,9.020822,1.669849
2.474361,9.026819,1.637905
2.466531,8.96088,1.615199
2.45875,8.931921,1.601002
2.451018,8.909485,1.58904
2.443335,8.916649,1.560436
2.4357,8.855849,1.539237
2.428112,8.854447,1.529381
2.420573,8.82111,1.514994
2.41308,8.823179,1.503567
2.405633,8.79529,1.487817
2.398232,8.763814,1.464671
2.390877,8.737508,1.458473
2.383568,8.740407,1.439563
2.376302,8.707478,1.420415
2.369082,8.676857,1.410606
2.361905,8.680524,1.406646
2.354772,8.653065,1.408706
2.347682,8.629144,1.378301
2.340634,8.612282,1.361521
2.333629,8.594675,1.371172
2.326667,8.574632,1.355939
2.319746,8.563915,1.35181
2.312865,8.560252,1.338592
2.306026,8.543822,1.324179
2.299228,8.52037,1.318667
2.292469,8.516038,1.311084
2.285751,8.493845,1.294041
2.279072,8.486018,1.287339
2.272432,8.477578,1.289675
2.265831,8.469707,1.279709
2.259268,8.4288,1.274695
2.252743,8.421384,1.266694
2.246256,8.428017,1.249235
2.239807,8.401437,1.239555
2.233395,8.398786,1.238996
2.227019,8.393685,1.220706
2.22068,8.401089,1.228055
2.214378,8.390668,1.206124
2.208111,8.371813,1.193536
2.20188,8.363836,1.186561
2.195684,8.342254,1.181786
2.189523,8.343618,1.163799
2.183396,8.334113,1.162293
2.177305,8.313197,1.140788
2.171247,8.317134,1.124863
2.165223,8.29827,1.114055
2.159232,8.294951,1.107604
2.153275,8.289373,1.097857
2.147351,8.271716,1.079258
2.14146,8.260987,1.069965
2.135601,8.247219,1.056552
