Energy (eV),Wavelength (nm),e1,e2,n,k
2.522414,491.592621,1,0,1,0
2.514275,493.183899,1,0,1,0
2.506189,494.775055,1,0,1,0
2.498156,496.366211,1,0,1,0
2.490174,497.957275,1,0,1,0
2.482242,499.548401,1,0,1,0
2.474361,501.139404,1,0,1,0
2.466531,502.730377,1,0,1,0
2.45875,504.32135,1,0,1,0
2.451018,505.912262,1,0,1,0
2.443335,507.503113,1,0,1,0
2.4357,509.093933,1,0,1,0
2.428112,510.684753,1,0,1,0
2.420573,512.275513,1,0,1,0
2.41308,513.866211,1,0,1,0
2.405633,515.456909,1,0,1,0
2.398232,517.047485,1,0,1,0
2.390877,518.638062,1,0,1,0
2.383568,520.228638,1,0,1,0
2.376302,521.819092,1,0,1,0
2.369082,523.409546,1,0,1,0
2.361905,524.999939,1,0,1,0
2.354772,526.590332,1,0,1,0
2.347682,528.180603,1,0,1,0
2.340634,529.770874,1,0,1,0
2.333629,531.361145,1,0,1,0
2.326667,532.951294,1,0,1,0
2.319746,534.541382,1,0,1,0
2.312865,536.13147,1,0,1,0
2.306026,537.721558,1,0,1,0
2.299228,539.311523,1,0,1,0
2.292469,540.901489,1,0,1,0
2.285751,542.491333,1,0,1,0
2.279072,544.081177,1,0,1,0
2.272432,545.671021,1,0,1,0
2.265831,547.260681,1,0,1,0
2.259268,548.850403,1,0,1,0
2.252743,550.440063,1,0,1,0
2.246256,552.029663,1,0,1,0
2.239807,553.619141,1,0,1,0
2.233395,555.208618,1,0,1,0
2.227019,556.798035,1,0,1,0
2.22068,558.387451,1,0,1,0
2.214378,559.976746,1,0,1,0
2.208111,561.56604,1,0,1,0
2.20188,563.155212,1,0,1,0
2.195684,564.744385,1,0,1,0
2.189523,566.333496,1,0,1,0
2.183396,567.922546,1,0,1,0
2.177305,569.511536,1,0,1,0
2.171247,571.100464,1,0,1,0
2.165223,572.689331,1,0,1,0
2.159232,574.278198,1,0,1,0
2.153275,575.866943,1,0,1,0
2.147351,577.455688,1,0,1,0
2.14146,579.044312,1,0,1,0
2.135601,580.632874,1,0,1,0
2.129774,582.221375,1,0,1,0
2.123979,583.809875,1,0,1,0
2.118216,585.398315,1,0,1,0
2.112484,586.986633,1,0,1,0
2.106784,588.57489,1,0,1,0
2.101114,590.163147,1,0,1,0
2.095475,591.751343,1,0,1,0
2.089866,593.339417,1,0,1,0
2.084288,594.927429,1,0,1,0
2.078739,596.515442,1,0,1,0
2.07322,598.103394,1,0,1,0
2.067731,599.691223,1,0,1,0
2.062271,601.278992,1,0,1,0
2.056839,602.866699,1,0,1,0
2.051437,604.454407,1,0,1,0
2.046063,606.041931,1,0,1,0
2.040717,607.629517,1,0,1,0
2.0354,609.216919,1,0,1,0
2.03011,610.804321,1,0,1,0
2.024848,612.391663,1,0,1,0
