Energy (eV),e1,e2
5.867289,-0.796761,6.405599
5.82344,-0.747537,6.624236
5.780241,-0.693355,6.84806
5.737676,-0.585696,7.048913
5.695733,-0.446487,7.274867
5.654397,-0.286126,7.473939
5.613657,-0.116282,7.670333
5.573499,0.087399,7.828159
5.533911,0.301855,7.959629
5.49488,0.531261,8.061868
5.456395,0.752143,8.106592
5.418444,0.976733,8.171771
5.381018,1.214811,8.188991
5.344104,1.40052,8.213398
5.307692,1.60775,8.211444
5.271772,1.763952,8.192941
5.236335,1.942715,8.136651
5.201371,2.107104,8.12253
5.166869,2.273747,8.076276
5.132822,2.412008,8.030141
5.09922,2.524401,7.967515
5.066054,2.625658,7.936213
5.033317,2.71957,7.880536
5.000999,2.791196,7.837742
4.969093,2.891762,7.781041
4.937592,2.947142,7.756429
4.906486,2.998018,7.709872
4.87577,3.056602,7.686914
4.845435,3.122673,7.657342
4.815475,3.162668,7.627428
4.785883,3.20525,7.579208
4.756652,3.250853,7.544734
4.727775,3.295883,7.544788
4.699246,3.324391,7.542386
4.67106,3.371633,7.518824
4.643209,3.405728,7.494015
4.615688,3.447356,7.487549
4.588491,3.472977,7.484089
4.561612,3.495325,7.508955
4.535046,3.531934,7.54656
4.508787,3.52457,7.521451
4.48283,3.565698,7.526603
4.45717,3.603876,7.53971
4.431802,3.626904,7.545343
4.406721,3.665424,7.627622
4.381921,3.676503,7.643567
4.357399,3.697654,7.644492
4.33315,3.756624,7.656551
4.309169,3.820946,7.703677
4.285452,3.833675,7.757534
4.261994,3.867171,7.843942
4.238791,3.927443,7.880758
4.215839,3.962433,7.922638
4.193135,4.03208,7.968784
4.170673,4.102336,8.020046
4.148451,4.191695,8.116473
4.126463,4.241286,8.135572
4.104708,4.319634,8.259122
4.083181,4.387519,8.302963
4.061878,4.514162,8.365864
4.040796,4.582141,8.449226
4.019931,4.712447,8.485814
3.999282,4.85161,8.547394
3.978842,4.973585,8.602414
3.958611,5.094337,8.668864
3.938584,5.206961,8.624189
3.918759,5.364339,8.681173
3.899132,5.500198,8.650788
3.8797,5.621109,8.646612
3.860462,5.734392,8.629036
3.841413,5.853993,8.620615
3.822551,5.94281,8.584129
3.803873,6.060897,8.568557
3.785377,6.188777,8.560093
3.76706,6.262167,8.523268
3.748919,6.329092,8.417825
3.730952,6.429732,8.461393
3.713156,6.513737,8.419421
3.695529,6.619233,8.385804
3.678069,6.699294,8.396357
3.660773,6.756281,8.402356
3.643639,6.858964,8.351462
3.626665,6.903629,8.373315
3.609848,6.982919,8.337399
3.593186,7.058977,8.320302
3.576677,7.158688,8.333161
3.560319,7.216723,8.333976
3.54411,7.327857,8.342773
3.528048,7.422834,8.378039
3.512131,7.522747,8.339208
3.496357,7.616355,8.362946
3.480724,7.742043,8.327125
3.46523,7.858283,8.326667
3.449874,7.949506,8.290554
3.434653,8.095642,8.29606
3.419566,8.220613,8.244331
3.404611,8.403773,8.189578
3.389786,8.513349,8.157772
3.375089,8.66836,8.06318
3.36052,8.780973,8.041847
3.346076,8.89326,7.942892
3.331756,9.061227,7.83789
3.317557,9.13766,7.847514
3.303479,9.277039,7.714699
3.289521,9.355524,7.602298
3.27568,9.464091,7.533976
3.261955,9.548205,7.425822
3.248344,9.661348,7.325698
3.234847,9.741021,7.180347
3.221461,9.828382,7.116964
3.208186,9.901629,7.00514
3.19502,9.965386,6.894818
3.181961,10.054876,6.806274
3.169009,10.111079,6.663623
3.156162,10.150216,6.569958
3.143419,10.214304,6.474601
3.130779,10.261412,6.367991
3.11824,10.324039,6.255089
3.1058,10.372526,6.179922
3.09346,10.384328,6.0478
3.081218,10.417601,5.952378
3.069072,10.462939,5.834719
3.057022,10.477204,5.813931
3.045066,10.490667,5.658019
3.033204,10.542717,5.606593
3.021433,10.597371,5.47533
3.009754,10.574383,5.386152
2.998165,10.624425,5.335509
2.986665,10.668169,5.210701
2.975252,10.693403,5.135008
2.963927,10.703233,5.041238
2.952688,10.715455,4.932852
2.941534,10.737035,4.828238
2.930464,10.753511,4.759323
2.919477,10.811432,4.687651
2.908572,10.800435,4.592749
2.897749,10.815169,4.47798
2.887006,10.823355,4.428381
2.876342,10.816751,4.317443
2.865757,10.842735,4.277252
2.85525,10.889982,4.164681
2.84482,10.894432,4.070785
2.834466,10.898046,3.966952
2.824187,10.849916,3.907245
2.813982,10.891285,3.81461
2.803851,10.871001,3.740806
2.793793,10.910254,3.636287
2.783807,10.86421,3.585487
2.773893,10.865785,3.472043
2.764048,10.871144,3.380724
2.754274,10.873712,3.31808
2.744569,10.846991,3.262189
2.734932,10.816825,3.154059
2.725362,10.772633,3.04265
2.71586,10.745605,2.977553
2.706423,10.804189,2.887183
2.697052,10.77048,2.828703
2.687747,10.747887,2.719038
2.678505,10.712812,2.65363
2.669326,10.732292,2.625567
2.660211,10.664399,2.520991
2.651158,10.622752,2.4442
2.642166,10.589165,2.373954
2.633235,10.565265,2.348928
2.624365,10.519945,2.2511
2.615554,10.525947,2.196763
2.606803,10.477656,2.117806
2.598109,10.401253,2.048221
2.589475,10.391227,2.005787
2.580897,10.331473,1.951841
2.572376,10.319862,1.908859
2.563911,10.25344,1.851622
2.555503,10.243663,1.79649
2.547149,10.184007,1.782711
2.53885,10.135279,1.70276
2.530605,10.095015,1.678433
2.522414,10.052935,1.638609
2.514275,10.004285,1.578716
2.506189,9.967944,1.55693
2.498156,9.962848,1.526855
2.490174,9.873105,1.488593
2.482242,9.834003,1.462425
2.474361,9.786612,1.443892
2.466531,9.750284,1.371694
2.45875,9.725641,1.39352
2.451018,9.674912,1.363272
2.443335,9.681044,1.336029
2.4357,9.642886,1.312499
2.428112,9.604689,1.314009
2.420573,9.526733,1.277232
2.41308,9.518893,1.251987
2.405633,9.480487,1.242342
2.398232,9.432727,1.222645
2.390877,9.417285,1.213351
2.383568,9.372322,1.218174
2.376302,9.34325,1.181794
2.369082,9.332915,1.161174
2.361905,9.292802,1.152913
2.354772,9.279125,1.130257
2.347682,9.248751,1.127389
2.340634,9.246649,1.101655
2.333629,9.181491,1.107372
2.326667,9.164249,1.10963
2.319746,9.139058,1.08237
2.312865,9.124901,1.067892
2.306026,9.116118,1.050927
2.299228,9.077995,1.037961
2.292469,9.057005,1.0431
2.285751,9.053992,1.026092
2.279072,9.019579,1.032795
2.272432,8.993422,1.00722
2.265831,8.997252,0.983624
2.259268,8.98313,0.98635
2.252743,8.943896,0.951418
2.246256,8.937563,0.947524
2.239807,8.908321,0.943768
2.233395,8.904976,0.928689
2.227019,8.879405,0.918882
2.22068,8.853377,0.906149
