Energy (eV),e1,e2
5.867289,1.345022,5.517902
5.82344,1.346159,5.536536
5.780241,1.349092,5.570281
5.737676,1.33809,5.620284
5.695733,1.339183,5.675856
5.654397,1.348304,5.730381
5.613657,1.34161,5.806128
5.573499,1.351789,5.876904
5.533911,1.366382,5.947399
5.49488,1.386734,6.047155
5.456395,1.426037,6.130189
5.418444,1.468333,6.206862
5.381018,1.533028,6.292419
5.344104,1.579353,6.374531
5.307692,1.624701,6.447078
5.271772,1.670661,6.51614
5.236335,1.709547,6.58556
5.201371,1.76608,6.65946
5.166869,1.811095,6.747991
5.132822,1.853125,6.845682
5.09922,1.901641,6.934752
5.066054,1.955473,7.053865
5.033317,2.024745,7.162417
5.000999,2.081883,7.264826
4.969093,2.161118,7.394562
4.937592,2.249422,7.542841
4.906486,2.353611,7.639455
4.87577,2.466588,7.77396
4.845435,2.588692,7.892459
4.815475,2.740896,8.008923
4.785883,2.902694,8.101197
4.756652,3.064839,8.199045
4.727775,3.262375,8.289374
4.699246,3.45164,8.376125
4.67106,3.635234,8.406679
4.643209,3.822841,8.424123
4.615688,4.011195,8.453515
4.588491,4.198753,8.454749
4.561612,4.363642,8.423759
4.535046,4.521255,8.456351
4.508787,4.687527,8.421352
4.48283,4.854856,8.407932
4.45717,4.97601,8.387629
4.431802,5.107143,8.35167
4.406721,5.262027,8.357697
4.381921,5.421324,8.3926
4.357399,5.571661,8.342431
4.33315,5.721902,8.331461
4.309169,5.923145,8.306564
4.285452,6.096732,8.277203
4.261994,6.281583,8.230496
4.238791,6.464002,8.147861
4.215839,6.604129,8.055187
4.193135,6.78208,7.986392
4.170673,6.959381,7.923006
4.148451,7.08273,7.820389
4.126463,7.237359,7.716687
4.104708,7.323926,7.6292
4.083181,7.454586,7.567193
4.061878,7.598008,7.439214
4.040796,7.679743,7.336096
4.019931,7.796974,7.244732
3.999282,7.885996,7.115467
3.978842,7.9635,7.039516
3.958611,8.070802,6.913391
3.938584,8.157707,6.805114
3.918759,8.205804,6.662709
3.899132,8.318675,6.545919
3.8797,8.388284,6.46122
3.860462,8.425314,6.34
3.841413,8.507771,6.246297
3.822551,8.5509,6.130356
3.803873,8.615772,5.989624
3.785377,8.643476,5.857444
3.76706,8.721713,5.79878
3.748919,8.746809,5.671263
3.730952,8.805722,5.573473
3.713156,8.839878,5.467546
3.695529,8.860285,5.377449
3.678069,8.858167,5.253108
3.660773,8.921755,5.157259
3.643639,8.892276,5.040232
3.626665,8.911423,4.956544
3.609848,8.959064,4.861964
3.593186,8.952724,4.783311
3.576677,8.958257,4.652838
3.560319,8.931496,4.532553
3.54411,8.955299,4.463094
3.528048,8.975135,4.410694
3.512131,8.98368,4.332331
3.496357,8.952227,4.230056
3.480724,8.951391,4.160679
3.46523,8.932466,4.106802
3.449874,8.906409,4.008049
3.434653,8.887486,3.950005
3.419566,8.896317,3.864554
3.404611,8.876785,3.805748
3.389786,8.907986,3.705008
3.375089,8.899028,3.655587
3.36052,8.871846,3.533583
3.346076,8.86174,3.528419
3.331756,8.863175,3.491873
3.317557,8.846896,3.409533
3.303479,8.794226,3.352286
3.289521,8.787138,3.289412
3.27568,8.772966,3.218247
3.261955,8.783566,3.171868
3.248344,8.778895,3.138521
3.234847,8.7288,3.050569
3.221461,8.725044,2.984575
3.208186,8.721953,2.960057
3.19502,8.680593,2.877748
3.181961,8.720493,2.82312
3.169009,8.654521,2.808256
3.156162,8.6692,2.774643
3.143419,8.628358,2.707595
3.130779,8.632837,2.682312
3.11824,8.617762,2.632406
3.1058,8.569271,2.556767
3.09346,8.575242,2.509772
3.081218,8.550298,2.476556
3.069072,8.514338,2.459082
3.057022,8.528227,2.431455
3.045066,8.502136,2.401816
3.033204,8.467934,2.368112
3.021433,8.45205,2.315445
3.009754,8.434216,2.276017
2.998165,8.430129,2.272387
2.986665,8.393857,2.21517
2.975252,8.394466,2.19117
2.963927,8.359879,2.167051
2.952688,8.35462,2.106561
2.941534,8.320372,2.066574
2.930464,8.311846,2.047085
2.919477,8.279307,2.016519
2.908572,8.292997,1.99893
2.897749,8.229701,1.966176
2.887006,8.282613,1.949844
2.876342,8.211787,1.91968
2.865757,8.166135,1.881065
2.85525,8.211423,1.846997
2.84482,8.173349,1.817473
2.834466,8.157349,1.788693
2.824187,8.137524,1.770534
2.813982,8.120776,1.741468
2.803851,8.099928,1.722352
2.793793,8.06299,1.706987
2.783807,8.06654,1.677763
2.773893,8.025667,1.666739
2.764048,7.990977,1.643416
2.754274,8.004733,1.61478
2.744569,7.987151,1.605967
2.734932,7.984813,1.577188
2.725362,7.952087,1.554432
2.71586,7.943335,1.551151
2.706423,7.913398,1.523391
2.697052,7.887521,1.520735
2.687747,7.888147,1.492287
2.678505,7.881036,1.478901
2.669326,7.850058,1.452592
2.660211,7.830587,1.437813
2.651158,7.820127,1.437207
2.642166,7.804717,1.430544
2.633235,7.772167,1.395815
2.624365,7.793616,1.392746
2.615554,7.758105,1.378338
2.606803,7.745578,1.36817
2.598109,7.72562,1.358506
2.589475,7.715174,1.354998
2.580897,7.695947,1.337791
2.572376,7.703488,1.333686
2.563911,7.671036,1.32645
2.555503,7.665259,1.316534
2.547149,7.641859,1.308083
2.53885,7.637651,1.293573
2.530605,7.609462,1.281535
2.522414,7.600661,1.272302
2.514275,7.590477,1.259829
2.506189,7.584522,1.251688
2.498156,7.568255,1.248425
2.490174,7.56176,1.235844
2.482242,7.550706,1.23921
2.474361,7.535034,1.228888
2.466531,7.53591,1.21891
2.45875,7.511172,1.214606
2.451018,7.528566,1.210667
2.443335,7.508052,1.19477
2.4357,7.511333,1.207104
2.428112,7.489514,1.194473
2.420573,7.48622,1.188342
2.41308,7.467285,1.178348
2.405633,7.451009,1.173296
2.398232,7.461792,1.155342
2.390877,7.438413,1.167394
2.383568,7.429901,1.165546
2.376302,7.435985,1.158244
2.369082,7.418433,1.150613
2.361905,7.41888,1.147839
