,Photon Energy (eV),e1,e2,N,n,k
163,2.633235,9.254418258,2.876772836,(3.077795923846746+0.4673430122074058j),3.077795924,0.467343012
164,2.624365,9.229597477,2.811820122,(3.0722961099674535+0.4576089057945965j),3.07229611,0.457608906
165,2.615554,9.203967569,2.748418031,(3.0667188928718563+0.44810400417379415j),3.066718893,0.448104004
166,2.606803,9.177601406,2.686569576,(3.0610735727660923+0.43882799816518214j),3.061073573,0.438827998
167,2.598109,9.150557356,2.626246454,(3.0553665524505833+0.4297760037540408j),3.055366552,0.429776004
168,2.589475,9.122909804,2.567459344,(3.0496078351833087+0.4209490995063053j),3.049607835,0.4209491
169,2.580897,9.094708441,2.510168307,(3.043802462879033+0.4123408692652291j),3.043802463,0.412340869
170,2.572376,9.0660162,2.454365391,(3.0379584651420015+0.4039497937071388j),3.037958465,0.403949794
171,2.563911,9.036886884,2.400027153,(3.0320821969709395+0.3957721125678614j),3.032082197,0.395772113
172,2.555503,9.007378588,2.347141093,(3.0261810783660237+0.3878057908309711j),3.026181078,0.387805791
173,2.547149,8.97753273,2.295668,(3.02025939469179+0.3800448405119915j),3.020259395,0.380044841
174,2.53885,8.947402163,2.245592487,(3.0143239162183435+0.3724869240195195j),3.014323916,0.372486924
175,2.530605,8.917030093,2.196885571,(3.0083796864026593+0.36512770993220994j),3.008379686,0.36512771
176,2.522414,8.886460864,2.14952328,(3.002432156534292+0.3579636720782959j),3.002432157,0.357963672
177,2.514275,8.85572886,2.10346941,(2.9964850194135897+0.35098947541004244j),2.996485019,0.350989475
178,2.506189,8.824877341,2.058704284,(2.9905438602126035+0.3442023223701521j),2.99054386,0.344202322
179,2.498156,8.793943612,2.015201648,(2.9846132628595665+0.33759845429942537j),2.984613263,0.337598454
180,2.490174,8.762954993,1.972924189,(2.97869605534634+0.33117245809788154j),2.978696055,0.331172458
181,2.482242,8.731940389,1.931840185,(2.9727955290087884+0.32491978773780417j),2.972795529,0.324919788
182,2.474361,8.700934485,1.891928026,(2.9669162118116756+0.3188374545858087j),2.966916212,0.318837455
183,2.466531,8.669966147,1.853160499,(2.961061650180397+0.3129216338572926j),2.96106165,0.312921634
184,2.45875,8.639054392,1.815500671,(2.9552336581740497+0.30716702645875205j),2.955233658,0.307167026
185,2.451018,8.608224307,1.778921767,(2.949435319758591+0.3015698895632217j),2.94943532,0.30156989
186,2.443335,8.577499271,1.743397016,(2.943669507041515+0.29612648627932736j),2.943669507,0.296126486
187,2.4357,8.546897013,1.708895249,(2.937938137984874+0.2908324084468263j),2.937938138,0.290832408
188,2.428112,8.516433675,1.675385848,(2.9322429365741947+0.28568332912513994j),2.932242937,0.285683329
189,2.420573,8.486135963,1.642851576,(2.9265876936510486+0.28067697743129977j),2.926587694,0.280676977
190,2.41308,8.456009086,1.611253805,(2.9209722733537933+0.2758077882610146j),2.920972273,0.275807788
191,2.405633,8.426068964,1.580567568,(2.915398626462498+0.2710722906835831j),2.915398626,0.271072291
192,2.398232,8.396330264,1.550768205,(2.909868546044725+0.26646705516279795j),2.909868546,0.266467055
193,2.390877,8.366806454,1.521831395,(2.9043836749667555+0.2619886979817057j),2.904383675,0.261988698
194,2.383568,8.33750987,1.493733191,(2.8989455132534014+0.25763388512050134j),2.898945513,0.257633885
195,2.376302,8.308439786,1.466438905,(2.893553201950981+0.253397605455053j),2.893553202,0.253397605
196,2.369082,8.279618496,1.439937063,(2.888210213281544+0.24927843834027466j),2.888210213,0.249278438
197,2.361905,8.251043373,1.414194329,(2.882915453081527+0.24527155788752728j),2.882915453,0.245271558
198,2.354772,8.222726882,1.389192656,(2.877670678226855+0.2413745023053588j),2.877670678,0.241374502
199,2.347682,8.194672705,1.364907347,(2.8724760659239497+0.23758376314815963j),2.872476066,0.237583763
200,2.340634,8.166883788,1.341314474,(2.86733170339176+0.23389593749841256j),2.867331703,0.233895937
201,2.333629,8.13937024,1.318397335,(2.8622390459145985+0.23030873967591764j),2.862239046,0.23030874
202,2.326667,8.112137514,1.296136226,(2.8571987253251967+0.22681940440890108j),2.857198725,0.226819404
203,2.319746,8.085182634,1.274505735,(2.852209850758484+0.2234242572911158j),2.852209851,0.223424257
204,2.312865,8.058506028,1.253484495,(2.847272194426947+0.2201202430112516j),2.847272194,0.220120243
205,2.306026,8.032119178,1.233060719,(2.8423876063411675+0.2169058006199735j),2.842387606,0.216905801
206,2.299228,8.006021399,1.213213874,(2.8375557131112643+0.21377798304581952j),2.837555713,0.213777983
207,2.292469,7.980207775,1.193921323,(2.8327753849241977+0.2107334964398613j),2.832775385,0.210733496
208,2.285751,7.954688247,1.175172415,(2.828048267688157+0.20777092599636796j),2.828048268,0.207770926
209,2.279072,7.92945709,1.156945641,(2.8233731291532873+0.20488713115014998j),2.823373129,0.204887131
210,2.272432,7.90451584,1.139225689,(2.8187501026754735+0.202079937419405j),2.818750103,0.202079937
211,2.265831,7.879865662,1.12199766,(2.8141792725304624+0.19934722547945935j),2.814179273,0.199347225
212,2.259268,7.855503671,1.105244545,(2.8096599904656485+0.1966865294120169j),2.80965999,0.196686529
213,2.252743,7.831430433,1.088952428,(2.8051922638115663+0.1940958632376474j),2.805192264,0.194095863
214,2.246256,7.807646213,1.073107786,(2.8007760602191056+0.19157329301214118j),2.80077606,0.191573293
215,2.239807,7.784151001,1.057697478,(2.7964113103705777+0.18911693608900643j),2.79641131,0.189116936
216,2.233395,7.760940923,1.042706431,(2.7920972397522084+0.1867245910564759j),2.79209724,0.186724591
217,2.227019,7.738011962,1.028120137,(2.7878330580470463+0.18439413619929368j),2.787833058,0.184394136
218,2.22068,7.715367098,1.01392907,(2.783619287069458+0.18212423569288583j),2.783619287,0.182124236
219,2.214378,7.693005478,1.000121686,(2.77945574644519+0.17991322360582018j),2.779455746,0.179913224
220,2.208111,7.670919039,0.98668254,(2.7753409213909497+0.17775879938077382j),2.775340921,0.177758799
221,2.20188,7.649110203,0.973603107,(2.771275257841149+0.17565976246369097j),2.771275258,0.175659762
222,2.195684,7.627574209,0.960870934,(2.767257871156588+0.17361427419576295j),2.767257871,0.173614274
223,2.189523,7.606309692,0.948476038,(2.7632885155241125+0.17162088445842985j),2.763288516,0.171620884
224,2.183396,7.585311736,0.936406786,(2.7593662888107264+0.1696778695532523j),2.759366289,0.16967787
225,2.177305,7.564585576,0.924657722,(2.755492190545034+0.16778449334057083j),2.755492191,0.167784493
226,2.171247,7.544119308,0.913214003,(2.7516640226859765+0.16593850044158062j),2.751664023,0.1659385
227,2.165223,7.523914588,0.902068854,(2.7478821255371444+0.1641389281445147j),2.747882126,0.164138928
228,2.159232,7.503966249,0.891212016,(2.744145566867623+0.16238424574229374j),2.744145567,0.162384246
229,2.153275,7.484275723,0.88063715,(2.740454654285284+0.1606735489336163j),2.740454654,0.160673549
230,2.147351,7.464837733,0.870334571,(2.736808441531413+0.15900538712903833j),2.736808442,0.159005387
231,2.14146,7.445650274,0.860296665,(2.7332065985101006+0.15737863815107128j),2.733206599,0.157378638
232,2.135601,7.426708063,0.85051439,(2.729648181186217+0.15579194344652011j),2.729648181,0.155791943
233,2.129774,7.408009053,0.840980685,(2.726132855256761+0.15424425909552894j),2.726132855,0.154244259
234,2.123979,7.389551148,0.831688698,(2.722660279439284+0.15273457068362745j),2.722660279,0.152734571
235,2.118216,7.371332211,0.822631784,(2.7192301062529443+0.1512618925419173j),2.719230106,0.151261893
236,2.112484,7.353346939,0.813801975,(2.7158413935638044+0.1498250187189127j),2.715841394,0.149825019
237,2.106784,7.335596297,0.805194607,(2.712494380816569+0.14842327647988401j),2.712494381,0.148423276
238,2.101114,7.31807189,0.796800685,(2.7091875436445396+0.1470552836701879j),2.709187544,0.147055284
239,2.095475,7.300774653,0.788615942,(2.7059211176017564+0.14572042337407123j),2.705921118,0.145720423
240,2.089866,7.28369934,0.780633346,(2.702694172624103+0.14441762485973203j),2.702694173,0.144417625
241,2.084288,7.266846802,0.772848912,(2.699506930615541+0.143146310027562j),2.699506931,0.14314631
242,2.078739,7.250208822,0.76525464,(2.6963578990851116+0.14190524191964576j),2.696357899,0.141905242
243,2.07322,7.233786248,0.757846887,(2.693247299932265+0.14069389144690606j),2.6932473,0.140693891
244,2.067731,7.217576885,0.75062075,(2.6901747804033667+0.1395115208864088j),2.69017478,0.139511521
245,2.062271,7.201575616,0.743570197,(2.687139432828829+0.13835720392147088j),2.687139433,0.138357204
246,2.056839,7.185777408,0.736689433,(2.6841403642147745+0.13723004998147098j),2.684140364,0.13723005
247,2.051437,7.170185943,0.729976585,(2.681178335659416+0.13612980822350185j),2.681178336,0.136129808
248,2.046063,7.154793312,0.723424894,(2.6782519073761453+0.13505542404434837j),2.678251907,0.135055424
249,2.040717,7.139597448,0.71703028,(2.6753607477696515+0.13400627942807616j),2.675360748,0.134006279
250,2.0354,7.124599098,0.710789946,(2.6725050609210377+0.13298196444494456j),2.672505061,0.132981964
251,2.03011,7.109790563,0.704697703,(2.669683442235534+0.1319815097940201j),2.669683442,0.13198151
252,2.024848,7.095172624,0.698751005,(2.6668961011566226+0.1310045421126776j),2.666896101,0.131004542
253,2.019613,7.080740495,0.692945134,(2.664142185119451+0.13005032881424253j),2.664142185,0.130050329
254,2.014406,7.06649493,0.687277716,(2.661421898652469+0.12911852046394232j),2.661421899,0.12911852
255,2.009225,7.052428502,0.681743221,(2.658733882265406+0.1282082470166774j),2.658733882,0.128208247
256,2.004072,7.038544694,0.676340532,(2.6560788606102257+0.12731936194318771j),2.656078861,0.127319362
257,1.998945,7.024836183,0.671064392,(2.6534554919784834+0.12645103599676702j),2.653455492,0.126451036
258,1.993844,7.011301112,0.66591179,(2.65086347770402+0.125602807554065j),2.650863478,0.125602808
259,1.98877,6.997940258,0.660880786,(2.6483030239381122+0.1247743894061648j),2.648303024,0.124774389
260,1.983721,6.984746525,0.655966554,(2.6457728268197402+0.1239650183704495j),2.645772827,0.123965018
261,1.978698,6.971720741,0.651167339,(2.6432731002911236+0.12317443446027658j),2.6432731,0.123174434
262,1.973701,6.958861108,0.646480459,(2.6408035542381167+0.12240222453232626j),2.640803554,0.122402225
263,1.96873,6.946165841,0.641903314,(2.6383639009711413+0.12164798672696478j),2.638363901,0.121647987
264,1.963783,6.933628128,0.637431583,(2.635952883979007+0.12091103493927596j),2.635952884,0.120911035
265,1.958862,6.921251347,0.633064667,(2.6335712055508265+0.12019129488849487j),2.633571206,0.120191295
266,1.953965,6.909028796,0.628798452,(2.6312176278186814+0.11948811186128337j),2.631217628,0.119488112
267,1.949093,6.896961344,0.624631562,(2.6288923691780544+0.11880128102976746j),2.628892369,0.118801281
268,1.944246,6.885047356,0.620561787,(2.6265951650711385+0.1181304594908715j),2.626595165,0.118130459
269,1.939422,6.873280352,0.616585348,(2.624324815747257+0.11747504438178633j),2.624324816,0.117475044
270,1.934623,6.86166367,0.612701853,(2.6220820133633094+0.11683499017911524j),2.622082013,0.11683499
271,1.929848,6.850193335,0.608908484,(2.619866039322154+0.11620985105600777j),2.619866039,0.116209851
272,1.925097,6.83886784,0.605203316,(2.617676650149615+0.11559932659015608j),2.61767665,0.115599327
273,1.920369,6.827683344,0.601583715,(2.6155131492765564+0.11500299946133376j),2.615513149,0.115002999
274,1.915664,6.816638432,0.5980479,(2.613375308668935+0.11442059209845837j),2.613375309,0.114420592
275,1.910983,6.80573403,0.594594874,(2.6112633527435087+0.11385195466941753j),2.611263353,0.113851955
276,1.906325,6.794966405,0.591222194,(2.6091766033159263+0.11329669936239113j),2.609176603,0.113296699
277,1.901689,6.784331917,0.587927523,(2.607114397885051+0.11275445446349462j),2.607114398,0.112754454
278,1.897076,6.773831547,0.584710001,(2.605076969710355+0.11222509116426775j),2.60507697,0.112225091
279,1.892486,6.763463978,0.581568081,(2.6030641054851933+0.11170836695020538j),2.603064105,0.111708367
280,1.887918,6.753225678,0.578499594,(2.601075161097199+0.1112039363926124j),2.601075161,0.111203936
281,1.883373,6.743117636,0.575503768,(2.5991103694107247+0.11071168326779779j),2.599110369,0.110711683
282,1.87885,6.733136392,0.572578541,(2.5971690986345535+0.1102312786176031j),2.597169099,0.110231279
283,1.874348,6.723278578,0.569721938,(2.5952507324127967+0.10976240762811547j),2.595250732,0.109762408
284,1.869868,6.713545239,0.5669333,(2.5933555127432504+0.10930497140051294j),2.593355513,0.109304971
285,1.86541,6.703935224,0.564211355,(2.5914832539734967+0.1088587692472373j),2.591483254,0.108858769
286,1.860973,6.694445273,0.56155427,(2.5896333581685105+0.10842350868969436j),2.589633358,0.108423509
287,1.856558,6.685076437,0.558961455,(2.587806067410276+0.10799910055548434j),2.587806067,0.107999101
288,1.852163,6.675823431,0.556430599,(2.5860003867698977+0.10758517318435999j),2.586000387,0.107585173
289,1.84779,6.666689443,0.553961745,(2.584216973919445+0.10718174033056493j),2.584216974,0.10718174
290,1.843437,6.657669292,0.551552689,(2.582454852337117+0.10678844749101421j),2.582454852,0.106788447
291,1.839105,6.648764091,0.549202952,(2.580714273656233+0.10640522238653909j),2.580714274,0.106405222
292,1.834794,6.639972875,0.546911518,(2.578995083383992+0.10603190391945476j),2.578995083,0.106031904
293,1.830503,6.631292686,0.544676879,(2.5772967359654153+0.1056682514398723j),2.577296736,0.105668251
294,1.826232,6.622722646,0.542498105,(2.575619092370734+0.10531411775491753j),2.575619092,0.105314118
295,1.821982,6.61426388,0.540374784,(2.573962405142044+0.10496943981592427j),2.573962405,0.10496944
296,1.817751,6.60591157,0.538305036,(2.572325762185245+0.10463391603034469j),2.572325762,0.104633916
297,1.81354,6.597666898,0.536288509,(2.5707094256434644+0.1043074927341049j),2.570709426,0.104307493
298,1.809349,6.589529065,0.534324373,(2.569113269713564+0.10399003789308858j),2.56911327,0.103990038
299,1.805178,6.581497292,0.532411815,(2.5675371719823565+0.1036814230077476j),2.567537172,0.103681423
300,1.801026,6.573568921,0.530549607,(2.5659806400671674+0.10338145163472338j),2.56598064,0.103381452
301,1.796893,6.565743261,0.528737012,(2.564443567396378+0.10309000722254705j),2.564443567,0.103090007
302,1.792779,6.558019643,0.526973315,(2.5629258509120594+0.10280697639298095j),2.562925851,0.102806976
303,1.788684,6.550397418,0.525257821,(2.561427391117569+0.102532248851872j),2.561427391,0.102532249
304,1.784608,6.542875957,0.523589856,(2.5599480921269815+0.10226571730086756j),2.559948092,0.102265717
305,1.780551,6.535454654,0.521968762,(2.558487861716492+0.10200727734979852j),2.558487862,0.102007277
306,1.776513,6.528132921,0.520393902,(2.5570466113779404+0.10175682742964721j),2.557046611,0.101756827
307,1.772493,6.520908404,0.518864279,(2.5556239039782516+0.10151420918608957j),2.555623904,0.101514209
308,1.768492,6.513782381,0.517379687,(2.554220017061649+0.10127938926916963j),2.554220017,0.101279389
309,1.764508,6.506750816,0.515938824,(2.5528341809829+0.10105216161310268j),2.552834181,0.101052162
310,1.760543,6.499816789,0.514541874,(2.55146702757248+0.10083255404580928j),2.551467028,0.100832554
311,1.756596,6.492978097,0.513187943,(2.550118147687645+0.1006204248246949j),2.550118148,0.100620425
312,1.752667,6.486234336,0.51187652,(2.548787485737343+0.10041569233874748j),2.548787486,0.100415692
313,1.748755,6.479583432,0.510606789,(2.5474746563597863+0.10021822750218327j),2.547474656,0.100218228
314,1.744861,6.47302675,0.509378607,(2.5461799528580067+0.10002800590497235j),2.546179953,0.100028006
315,1.740985,6.466563959,0.508191503,(2.544903332780495+0.09984495223088131j),2.544903333,0.099844952
316,1.737126,6.460193105,0.507044731,(2.5436444335886352+0.09966894829475438j),2.543644434,0.099668948
317,1.733284,6.453913956,0.505937874,(2.542403231571925+0.0994999273947231j),2.542403232,0.099499927
318,1.72946,6.447727914,0.504870803,(2.5411800262060815+0.09933786613644426j),2.541180026,0.099337866
319,1.725653,6.441633155,0.503842832,(2.5399744790161436+0.09918265640228197j),2.539974479,0.099182656
320,1.721862,6.43562795,0.502853325,(2.53878626954517+0.0990341980660773j),2.53878627,0.099034198
321,1.718089,6.429715343,0.501902431,(2.537616021333484+0.09889250912841024j),2.537616021,0.098892509
322,1.714332,6.423892105,0.500989287,(2.536463116250719+0.09875745551309552j),2.536463116,0.098757456
323,1.710592,6.418159745,0.500113796,(2.535327873949654+0.09862901785069123j),2.535327874,0.098629018
324,1.706868,6.412516722,0.499275396,(2.534210009598358+0.09850710761754104j),2.53421001,0.098507108
325,1.703161,6.406964575,0.498473991,(2.5331098481427357+0.09839170438610947j),2.533109848,0.098391704
326,1.699469,6.401500391,0.497708847,(2.532026832270486+0.09828269603889014j),2.532026832,0.098282696
327,1.695795,6.3961287,0.49698028,(2.5309618795674407+0.09818011965691076j),2.53096188,0.09818012
328,1.692136,6.390845241,0.496287395,(2.52991416480581+0.09808384062641332j),2.529914165,0.098083841
329,1.688493,6.385651676,0.495630114,(2.5288840362570015+0.0979938397168233j),2.528884036,0.09799384
330,1.684866,6.380548232,0.495008159,(2.5278715579049806+0.0979100693180167j),2.527871558,0.097910069
331,1.681255,6.375535175,0.494421258,(2.52687680131723+0.0978324819997011j),2.526876801,0.097832482
332,1.67766,6.370612813,0.493869143,(2.5258998459218236+0.09776103033730135j),2.525899846,0.09776103
333,1.67408,6.365780156,0.493351406,(2.5249405132418765+0.09769564926950956j),2.524940513,0.097695649
334,1.670516,6.361038977,0.492867939,(2.5239991731252767+0.09763631149319821j),2.523999173,0.097636311
335,1.666966,6.356387115,0.492418233,(2.5230754141177663+0.09758293997500615j),2.523075414,0.09758294
336,1.663433,6.35182902,0.492002416,(2.5221701371129184+0.09753553282953059j),2.522170137,0.097535533
337,1.659914,6.347361391,0.491619881,(2.521282703528948+0.09749400173854504j),2.521282704,0.097494002
