,Photon Energy (eV),e1,e2,N,n,k
62,3.999282,3.273165096,9.197995314,(2.5530563742824035+1.8013694109046337j),2.553056374,1.801369411
63,3.978842,3.405519079,9.201962862,(2.570742530895091+1.7897480497449079j),2.570742531,1.78974805
64,3.958611,3.536430607,9.200431061,(2.587770983771773+1.7776749021244014j),2.587770984,1.777674902
65,3.938584,3.665345891,9.193749123,(2.604113032900965+1.7652361872504443j),2.604113033,1.765236187
66,3.918759,3.791751449,9.182340663,(2.6197494524588145+1.7525226801232394j),2.619749452,1.75252268
67,3.899132,3.915214885,9.166694401,(2.6346748148121972+1.7396253893524318j),2.634674815,1.739625389
68,3.8797,4.035373156,9.147356837,(2.6488952055526394+1.726636225120031j),2.648895206,1.726636225
69,3.860462,4.151934045,9.124926106,(2.662427854084515+1.7136475814186876j),2.662427854,1.713647581
70,3.841413,4.264719584,9.100036666,(2.675305646088595+1.700747105139829j),2.675305646,1.700747105
71,3.822551,4.37363073,9.073358473,(2.68757252775737+1.6880211378805987j),2.687572528,1.688021138
72,3.803873,4.478680231,9.045583155,(2.6992869023627386+1.6755505216685398j),2.699286902,1.675550522
73,3.785377,4.579991189,9.017415609,(2.7105210012388063+1.6634100243281733j),2.710521001,1.663410024
74,3.76706,4.677820143,8.989556686,(2.7213628393013614+1.651664481555413j),2.721362839,1.651664482
75,3.748919,4.772564422,8.962685209,(2.731916078733224+1.6403661295637706j),2.731916079,1.64036613
76,3.730952,4.864770286,8.937432468,(2.7422994215205967+1.629550806550933j),2.742299422,1.629550807
77,3.713156,4.95515367,8.914342282,(2.7526465875793056+1.6192311650192452j),2.752646588,1.619231165
78,3.695529,5.044592441,8.893824915,(2.7631020399265935+1.6093913265432989j),2.76310204,1.609391327
79,3.678069,5.134119225,8.876094773,(2.7738155761095267+1.5999792576800858j),2.773815576,1.599979258
80,3.660773,5.224890516,8.861100752,(2.784933276674553+1.5909000094377606j),2.784933277,1.590900009
81,3.643639,5.318107735,8.848460728,(2.7965824655876372+1.5820131959103079j),2.796582466,1.582013196
82,3.626665,5.414915271,8.837410552,(2.8088549205029247+1.5731340354526733j),2.808854921,1.573134035
83,3.609848,5.516265123,8.826793901,(2.8217889766537114+1.5640421687273784j),2.821788977,1.564042169
84,3.593186,5.622747437,8.815116842,(2.835352111249049+1.5545012569859016j),2.835352111,1.554501257
85,3.576677,5.734454371,8.800676846,(2.849433548355579+1.5442853283617084j),2.849433548,1.544285328
86,3.560319,5.850898346,8.781761127,(2.863848823249658+1.5332096191302353j),2.863848823,1.533209619
87,3.54411,5.971026544,8.756878525,(2.878358747443666+1.5211582872618252j),2.878358747,1.521158287
88,3.528048,6.093343319,8.724969775,(2.892699976628766+1.5081014010811191j),2.892699977,1.508101401
89,3.512131,6.216116922,8.685540868,(2.906620150292463+1.494096307593274j),2.90662015,1.494096308
90,3.496357,6.337618313,8.638687464,(2.919908939401256+1.4792734368978808j),2.919908939,1.479273437
91,3.480724,6.456332612,8.585014368,(2.9324181890878456+1.4638114031308103j),2.932418189,1.463811403
92,3.46523,6.571100007,8.525484739,(2.944068534603068+1.4479086745081122j),2.944068535,1.447908675
93,3.449874,6.681164657,8.461250507,(2.9548434746382797+1.4317595128129341j),2.954843475,1.431759513
94,3.434653,6.786178961,8.393483309,(2.9647786288287645+1.4155328878891962j),2.964778629,1.415532888
95,3.419566,6.886109917,8.32327528,(2.973943123821241+1.399366923530994j),2.973943124,1.399366924
96,3.404611,6.981175138,8.251557021,(2.982426574027628+1.383362979060382j),2.982426574,1.383362979
97,3.389786,7.071750659,8.179072773,(2.9903260326047905+1.3675887986583182j),2.990326033,1.367588799
98,3.375089,7.158298598,8.106380535,(2.9977371173088465+1.3520832911382952j),2.997737117,1.352083291
99,3.36052,7.241300704,8.033879525,(3.0047474180628306+1.336864369532552j),3.004747418,1.33686437
100,3.346076,7.321248747,7.961810944,(3.0114358648452337+1.321929355453999j),3.011435865,1.321929355
101,3.331756,7.398591182,7.890310368,(3.017869033222369+1.3072652062166845j),3.017869033,1.307265206
102,3.317557,7.473741822,7.819413776,(3.024102998937+1.2928484542786562j),3.024102999,1.292848454
103,3.303479,7.547046988,7.749105024,(3.0301817966172173+1.2786534842096395j),3.030181797,1.278653484
104,3.289521,7.618805891,7.679314517,(3.0361402459147095+1.26465082220005j),3.036140246,1.264650822
105,3.27568,7.689277013,7.609929076,(3.042005496553324+1.2508079101321672j),3.042005497,1.25080791
106,3.261955,7.758661006,7.54082354,(3.04779648339106+1.23709433699964j),3.047796483,1.237094337
107,3.248344,7.827120293,7.471854637,(3.0535262867693205+1.2234796650497528j),3.053526287,1.223479665
108,3.234847,7.894768316,7.40288295,(3.0592018322494576+1.2099369959693766j),3.059201832,1.209936996
109,3.221461,7.961698899,7.333752564,(3.0648268398101983+1.1964383221268902j),3.06482684,1.196438322
110,3.208186,8.027960167,7.264325576,(3.070400031343334+1.1829607708954177j),3.070400031,1.182960771
111,3.19502,8.093583244,7.194459272,(3.075917860062586+1.1694816960993029j),3.07591786,1.169481696
112,3.181961,8.158575556,7.124018377,(3.0813742052815893+1.155980725281323j),3.081374205,1.155980725
113,3.169009,8.222913891,7.052887696,(3.086760000906553+1.1424418636325038j),3.086760001,1.142441864
114,3.156162,8.286567024,6.980951763,(3.092065306125921+1.1288493405266535j),3.092065306,1.128849341
115,3.143419,8.349483244,6.908112003,(3.0972784009883583+1.1151906785432033j),3.097278401,1.115190679
116,3.130779,8.411597602,6.834282087,(3.102386512554185+1.1014556147418402j),3.102386513,1.101455615
117,3.11824,8.472838865,6.759382403,(3.10737648261109+1.0876349294819267j),3.107376483,1.087634929
118,3.1058,8.533126426,6.683345886,(3.1122345857371525+1.0737214213498167j),3.112234586,1.073721421
119,3.09346,8.592357723,6.606137165,(3.1169456061136915+1.0597132577038684j),3.116945606,1.059713258
120,3.081218,8.650439044,6.527715992,(3.121495383016297+1.04560718361336j),3.121495383,1.045607184
121,3.069072,8.707272365,6.448054888,(3.1258697765558345+1.0314017135280504j),3.125869777,1.031401714
122,3.057022,8.762747674,6.367152553,(3.1300541402030446+1.017099428298509j),3.13005414,1.017099428
123,3.045066,8.816763121,6.285007393,(3.1340349106087184+1.0027021989483806j),3.134034911,1.002702199
124,3.033204,8.869208024,6.201644028,(3.1377983606782798+0.9882158308185477j),3.137798361,0.988215831
125,3.021433,8.919986471,6.117078103,(3.14133234483735+0.9736438924402704j),3.141332345,0.973643892
126,3.009754,8.968987874,6.031365335,(3.1446242337273826+0.9589961927333268j),3.144624234,0.958996193
127,2.998165,9.016118559,5.944550981,(3.1476631572813867+0.9442800395514136j),3.147663157,0.94428004
128,2.986665,9.061285438,5.856697708,(3.1504388716404987+0.9295050541589657j),3.150438872,0.929505054
129,2.975252,9.10440502,5.767869843,(3.1529423493440754+0.9146805117747238j),3.152942349,0.914680512
130,2.963927,9.145389278,5.678163797,(3.155164983961228+0.8998204255210049j),3.155164984,0.899820426
131,2.952688,9.184169065,5.587660439,(3.15709995472793+0.884935624401878j),3.157099955,0.884935624
132,2.941534,9.22067945,5.49645514,(3.1587413598594494+0.870038808842132j),3.15874136,0.870038809
133,2.930464,9.254864069,5.404649065,(3.1600844683410836+0.8551431328589376j),3.160084468,0.855143133
134,2.919477,9.286675509,5.312348164,(3.1611257288348837+0.8402620805522075j),3.161125729,0.840262081
135,2.908572,9.316075567,5.219662157,(3.1618627667444303+0.8254093460081898j),3.161862767,0.825409346
136,2.897749,9.343033016,5.126712152,(3.162294344222788+0.8106000886920726j),3.162294344,0.810600089
137,2.887006,9.367531228,5.033603909,(3.16242046976976+0.7958467187838129j),3.16242047,0.795846719
138,2.876342,9.389560114,4.94045244,(3.1622421740498434+0.7811628850450235j),3.162242174,0.781162885
139,2.865757,9.409117021,4.847381454,(3.1617616081374416+0.7665633995352645j),3.161761608,0.7665634
140,2.85525,9.426210618,4.754504969,(3.160981959950112+0.7520613894109613j),3.16098196,0.752061389
141,2.84482,9.44085817,4.66193513,(3.159907370415119+0.7376695870686615j),3.15990737,0.737669587
142,2.834466,9.453085129,4.569781454,(3.1585428700619826+0.7234002579091472j),3.15854287,0.723400258
143,2.824187,9.462924658,4.478150152,(3.1568943112916976+0.7092651369591239j),3.156894311,0.709265137
144,2.813982,9.470417111,4.387143529,(3.1549682974103077+0.6952753744202798j),3.154968297,0.695275374
145,2.803851,9.475609068,4.296868352,(3.152772340136281+0.6814428522932877j),3.15277234,0.681442852
146,2.793793,9.4785542,4.207417534,(3.1503144061406334+0.6677774012217339j),3.150314406,0.667777401
147,2.783807,9.479311587,4.118878668,(3.14760298789825+0.6542881493280851j),3.147602988,0.654288149
148,2.773893,9.477945331,4.03134254,(3.144647340354501+0.6409848393239719j),3.14464734,0.640984839
149,2.764048,9.474523161,3.944867635,(3.1414561884872225+0.6278724575543809j),3.141456188,0.627872458
150,2.754274,9.469117956,3.859550364,(3.1380401700425944+0.6149619117462137j),3.13804017,0.614961912
151,2.744569,9.46180451,3.775445795,(3.134408912355486+0.6022580174328376j),3.134408912,0.602258017
152,2.734932,9.452660163,3.692611665,(3.1305725232484787+0.5897661909878079j),3.130572523,0.589766191
153,2.725362,9.441763988,3.611099615,(3.126541218120768+0.577491125715944j),3.126541218,0.577491126
154,2.71586,9.429199083,3.530972046,(3.1223261713319066+0.5654393315216033j),3.122326171,0.565439332
155,2.706423,9.415044289,3.452251545,(3.117936820157422+0.5536115297707072j),3.11793682,0.55361153
156,2.697052,9.399384277,3.37498849,(3.113384360599337+0.5420128225931211j),3.113384361,0.542012823
157,2.687747,9.382302893,3.299218816,(3.10867953132892+0.5306463375195347j),3.108679531,0.530646338
158,2.678505,9.363877718,3.224948733,(3.103831396012787+0.519510940100775j),3.103831396,0.51951094
159,2.669326,9.344190741,3.15220385,(3.098850342630819+0.5086085969399686j),3.098850343,0.508608597
160,2.660211,9.323325577,3.081012268,(3.0937471847069737+0.4979418297042805j),3.093747185,0.49794183
161,2.651158,9.30135782,3.011373703,(3.088530868562321+0.4875090830245874j),3.088530869,0.487509083
162,2.642166,9.278363241,2.943291601,(3.0832106038461617+0.47730952880392097j),3.083210604,0.477309529
