Wavelength (nm),Energy (eV),n,k,e1,e2
477.270111,2.598109,1.903314,0.017871,3.622286,0.068028
478.861633,2.589475,1.902751,0.017696,3.620149,0.067342
480.453125,2.580897,1.902198,0.017524,3.61805,0.06667
482.044586,2.572376,1.901654,0.017356,3.615988,0.066011
483.636047,2.563911,1.901114,0.017189,3.613941,0.065357
485.227386,2.555503,1.900578,0.017023,3.611906,0.064708
486.818787,2.547149,1.90005,0.016861,3.609907,0.064072
488.410095,2.53885,1.899526,0.016699,3.60792,0.063441
490.001404,2.530605,1.899011,0.016541,3.605968,0.062823
491.592621,2.522414,1.898498,0.016384,3.604027,0.062208
493.183899,2.514275,1.897989,0.016227,3.602098,0.061599
494.775055,2.506189,1.897494,0.016076,3.600224,0.061008
496.366211,2.498156,1.896995,0.015924,3.598336,0.060414
497.957275,2.490174,1.896505,0.015774,3.596482,0.059831
499.548401,2.482242,1.896023,0.015627,3.594658,0.059259
501.139404,2.474361,1.895543,0.015481,3.592843,0.058691
502.730377,2.466531,1.895065,0.015336,3.591036,0.058126
504.32135,2.45875,1.894595,0.015194,3.58926,0.057572
505.912262,2.451018,1.894133,0.015054,3.587513,0.057028
507.503113,2.443335,1.893672,0.014915,3.585773,0.056487
509.093933,2.4357,1.893214,0.014776,3.58404,0.055949
510.684753,2.428112,1.892762,0.01464,3.582335,0.055421
512.275513,2.420573,1.892318,0.014507,3.580657,0.054903
513.866211,2.41308,1.891876,0.014374,3.578986,0.054387
515.456909,2.405633,1.89144,0.014243,3.577342,0.05388
517.047485,2.398232,1.891005,0.014113,3.575702,0.053376
518.638062,2.390877,1.890578,0.013985,3.57409,0.052881
520.228638,2.383568,1.890152,0.013858,3.572481,0.052388
521.819092,2.376302,1.889732,0.013733,3.570897,0.051904
523.409546,2.369082,1.889313,0.013608,3.569317,0.051421
524.999939,2.361905,1.8889,0.013486,3.567763,0.050947
526.590332,2.354772,1.888494,0.013366,3.566232,0.050482
528.180603,2.347682,1.888089,0.013246,3.564705,0.050018
529.770874,2.340634,1.88769,0.013128,3.563201,0.049562
531.361145,2.333629,1.887291,0.01301,3.5617,0.049108
532.951294,2.326667,1.886899,0.012894,3.560221,0.048661
534.541382,2.319746,1.886507,0.012779,3.558745,0.048216
536.13147,2.312865,1.886121,0.012666,3.557291,0.047778
537.721558,2.306026,1.88574,0.012554,3.555859,0.047348
539.311523,2.299228,1.88536,0.012443,3.554428,0.046919
540.901489,2.292469,1.88498,0.012332,3.552998,0.046491
542.491333,2.285751,1.884611,0.012224,3.551609,0.046076
544.081177,2.279072,1.884242,0.012117,3.550222,0.045662
545.671021,2.272432,1.883873,0.01201,3.548835,0.045249
547.260681,2.265831,1.88351,0.011904,3.547467,0.044843
548.850403,2.259268,1.883151,0.0118,3.54612,0.044443
550.440063,2.252743,1.882798,0.011698,3.544792,0.04405
552.029663,2.246256,1.882445,0.011596,3.543465,0.043658
553.619141,2.239807,1.882092,0.011494,3.542136,0.043266
555.208618,2.233395,1.881748,0.011395,3.540845,0.042886
556.798035,2.227019,1.881404,0.011297,3.539555,0.042507
558.387451,2.22068,1.88106,0.011198,3.538263,0.042128
559.976746,2.214378,1.880721,0.011101,3.536989,0.041754
561.56604,2.208111,1.880387,0.011005,3.535733,0.041387
563.155212,2.20188,1.880057,0.010911,3.534493,0.041026
564.744385,2.195684,1.879727,0.010817,3.533255,0.040665
566.333496,2.189523,1.879396,0.010723,3.532013,0.040304
567.922546,2.183396,1.879074,0.010631,3.530805,0.039954
569.511536,2.177305,1.878752,0.01054,3.529598,0.039604
571.100464,2.171247,1.878434,0.01045,3.528405,0.039259
572.689331,2.165223,1.878116,0.01036,3.527212,0.038915
574.278198,2.159232,1.877802,0.010272,3.526033,0.038576
575.866943,2.153275,1.877491,0.010184,3.52487,0.038242
577.455688,2.147351,1.877181,0.010097,3.523706,0.037908
579.044312,2.14146,1.876874,0.010011,3.522555,0.037578
580.632874,2.135601,1.876571,0.009926,3.521421,0.037254
582.221375,2.129774,1.876268,0.009841,3.520284,0.03693
583.809875,2.123979,1.875972,0.009759,3.519177,0.036614
585.398315,2.118216,1.875673,0.009675,3.518054,0.036295
586.986633,2.112484,1.87538,0.009594,3.516958,0.035984
588.57489,2.106784,1.875087,0.009513,3.515862,0.035674
590.163147,2.101114,1.874798,0.009432,3.514778,0.035368
591.751343,2.095475,1.874508,0.009352,3.513692,0.035062
593.339417,2.089866,1.874221,0.009273,3.512617,0.034759
594.927429,2.084288,1.873937,0.009195,3.511557,0.034462
596.515442,2.078739,1.873658,0.009118,3.51051,0.034168
598.103394,2.07322,1.873377,0.009041,3.509461,0.033875
599.691223,2.067731,1.8731,0.008965,3.508422,0.033585
601.278992,2.062271,1.872826,0.00889,3.507397,0.033299
602.866699,2.056839,1.872555,0.008816,3.506385,0.033017
604.454407,2.051437,1.872284,0.008742,3.50537,0.032736
606.041931,2.046063,1.872015,0.008669,3.504365,0.032458
607.629517,2.040717,1.871745,0.008596,3.503357,0.032179
609.216919,2.0354,1.871479,0.008524,3.502359,0.031904
610.804321,2.03011,1.871215,0.008452,3.501374,0.031632
612.391663,2.024848,1.870954,0.008382,3.5004,0.031365
613.978943,2.019613,1.870697,0.008313,3.499439,0.031101
615.566101,2.014406,1.870439,0.008243,3.498474,0.030837
617.153259,2.009225,1.870183,0.008175,3.497519,0.030576
618.740295,2.004072,1.869931,0.008107,3.496574,0.030319
620.327271,1.998945,1.869677,0.008039,3.495627,0.030061
621.914185,1.993844,1.869425,0.007972,3.494688,0.029806
623.501099,1.98877,1.869177,0.007906,3.49376,0.029555
625.08783,1.983721,1.868927,0.00784,3.492829,0.029303
626.674561,1.978698,1.868684,0.007775,3.491919,0.029058
628.261169,1.973701,1.868441,0.00771,3.491011,0.028813
629.847778,1.96873,1.868199,0.007647,3.490108,0.028571
631.434204,1.963783,1.867956,0.007583,3.489203,0.028328
633.02063,1.958862,1.867719,0.00752,3.488319,0.028092
634.606995,1.953965,1.867482,0.007458,3.487435,0.027856
636.193237,1.949093,1.867247,0.007396,3.486557,0.027622
637.779419,1.944246,1.867011,0.007335,3.485676,0.027388
639.365601,1.939422,1.86678,0.007274,3.484815,0.027159
640.95166,1.934623,1.866549,0.007214,3.483954,0.026932
642.537659,1.929848,1.86632,0.007155,3.483099,0.026706
644.123535,1.925097,1.86609,0.007095,3.482241,0.02648
645.709351,1.920369,1.865864,0.007037,3.4814,0.026259
647.295105,1.915664,1.865639,0.006979,3.480562,0.026039
648.880737,1.910983,1.865416,0.006921,3.479728,0.025821
650.46637,1.906325,1.865191,0.006863,3.47889,0.025602
652.05188,1.901689,1.864971,0.006807,3.478071,0.025388
653.637329,1.897076,1.864751,0.00675,3.477252,0.025176
655.222717,1.892486,1.864533,0.006695,3.476438,0.024964
656.807983,1.887918,1.864317,0.006639,3.475633,0.024756
658.393188,1.883373,1.8641,0.006584,3.474824,0.024547
659.978333,1.87885,1.863887,0.00653,3.474032,0.024343
661.563354,1.874348,1.863675,0.006476,3.473241,0.02414
663.148315,1.869868,1.863463,0.006423,3.472454,0.023938
664.733276,1.86541,1.863251,0.006369,3.471663,0.023736
666.318054,1.860973,1.863043,0.006317,3.470888,0.023538
667.902771,1.856558,1.862835,0.006265,3.470114,0.023341
669.487427,1.852163,1.862628,0.006213,3.469344,0.023145
671.07196,1.84779,1.862423,0.006162,3.468582,0.022952
672.656433,1.843437,1.86222,0.006111,3.467828,0.022761
674.240845,1.839105,1.862017,0.006061,3.46707,0.02257
675.825195,1.834794,1.861814,0.00601,3.466315,0.02238
677.409424,1.830503,1.861613,0.00596,3.465567,0.022192
678.99353,1.826232,1.861414,0.005911,3.464828,0.022007
680.577637,1.821982,1.861218,0.005863,3.464097,0.021824
682.16156,1.817751,1.86102,0.005814,3.463362,0.021641
683.745483,1.81354,1.860823,0.005766,3.462629,0.021459
685.329285,1.809349,1.860628,0.005718,3.461903,0.021279
686.913025,1.805178,1.860435,0.005671,3.461185,0.021101
688.496643,1.801026,1.860244,0.005624,3.460474,0.020925
690.0802,1.796893,1.860051,0.005578,3.45976,0.02075
691.663696,1.792779,1.859863,0.005532,3.459058,0.020577
693.247009,1.788684,1.859674,0.005486,3.458359,0.020406
694.830322,1.784608,1.859484,0.00544,3.45765,0.020232
696.413513,1.780551,1.859296,0.005395,3.456952,0.020062
697.996643,1.776513,1.859112,0.005351,3.456267,0.019896
699.579651,1.772493,1.858927,0.005307,3.45558,0.019729
701.162537,1.768492,1.858742,0.005262,3.454892,0.019563
702.745422,1.764508,1.858558,0.005219,3.454212,0.019399
704.328125,1.760543,1.858377,0.005176,3.453538,0.019236
705.910767,1.756596,1.858195,0.005132,3.452861,0.019074
707.493347,1.752667,1.858015,0.00509,3.452193,0.018914
709.075806,1.748755,1.857836,0.005048,3.45153,0.018756
710.658203,1.744861,1.857657,0.005006,3.450866,0.018597
712.24054,1.740985,1.85748,0.004964,3.450208,0.018441
713.822693,1.737126,1.857305,0.004923,3.449557,0.018287
715.404785,1.733284,1.857129,0.004882,3.448903,0.018132
716.986816,1.72946,1.856952,0.004841,3.448247,0.017978
718.568726,1.725653,1.85678,0.004801,3.447608,0.017827
720.150513,1.721862,1.856609,0.004761,3.446973,0.017678
721.7323,1.718089,1.856434,0.004721,3.446326,0.017527
723.313904,1.714332,1.856262,0.004681,3.445688,0.017379
724.895386,1.710592,1.856094,0.004642,3.445064,0.017233
726.476868,1.706868,1.855925,0.004604,3.444436,0.017088
728.058228,1.703161,1.855755,0.004565,3.443807,0.016942
729.639465,1.699469,1.855587,0.004527,3.443184,0.016799
731.220581,1.695795,1.855421,0.004489,3.442566,0.016657
732.801636,1.692136,1.855256,0.004451,3.441954,0.016516
734.382568,1.688493,1.85509,0.004414,3.441339,0.016376
735.96344,1.684866,1.854923,0.004376,3.440722,0.016235
737.544189,1.681255,1.854761,0.00434,3.440119,0.016098
739.124878,1.67766,1.8546,0.004304,3.439522,0.015963
740.705383,1.67408,1.854438,0.004267,3.438922,0.015827
742.285828,1.670516,1.854275,0.004231,3.438319,0.015691
743.866211,1.666966,1.854114,0.004195,3.437721,0.015557
745.446411,1.663433,1.853954,0.00416,3.437129,0.015424
747.02655,1.659914,1.853796,0.004125,3.436542,0.015293
748.606628,1.656411,1.853639,0.00409,3.43596,0.015163
750.186584,1.652922,1.853481,0.004055,3.435376,0.015034
751.766418,1.649449,1.853325,0.004021,3.434797,0.014905
753.34613,1.64599,1.853168,0.003987,3.434215,0.014777
754.925781,1.642546,1.853012,0.003953,3.433637,0.014649
756.50531,1.639116,1.852857,0.003919,3.433066,0.014524
758.084717,1.635701,1.852702,0.003886,3.43249,0.014398
759.664063,1.6323,1.852548,0.003852,3.43192,0.014274
761.243286,1.628914,1.852395,0.00382,3.431354,0.014151
762.822388,1.625542,1.852244,0.003787,3.430794,0.014029
764.401367,1.622184,1.852094,0.003755,3.430238,0.013909
765.980286,1.618841,1.851943,0.003723,3.429681,0.013789
767.559082,1.615511,1.851793,0.003691,3.429125,0.01367
769.137756,1.612195,1.851645,0.00366,3.428577,0.013552
770.71637,1.608893,1.851496,0.003628,3.428024,0.013434
772.2948,1.605604,1.851348,0.003597,3.427476,0.013318
773.873169,1.60233,1.851201,0.003566,3.426933,0.013202
775.451416,1.599069,1.851056,0.003535,3.426394,0.013088
777.029541,1.595821,1.850909,0.003505,3.425853,0.012974
778.607544,1.592587,1.850764,0.003474,3.425313,0.012861
780.185486,1.589366,1.85062,0.003445,3.424782,0.01275
781.763306,1.586158,1.850475,0.003415,3.424245,0.012637
783.341003,1.582963,1.850331,0.003385,3.423712,0.012527
784.918579,1.579782,1.850188,0.003356,3.423184,0.012417
786.496094,1.576613,1.850046,0.003327,3.42266,0.012309
788.073425,1.573457,1.849906,0.003298,3.42214,0.012202
789.650696,1.570315,1.849765,0.003269,3.42162,0.012095
791.227844,1.567184,1.849622,0.00324,3.421092,0.011987
792.80481,1.564067,1.849482,0.003212,3.420574,0.011881
794.381714,1.560962,1.849345,0.003184,3.420067,0.011778
795.958557,1.55787,1.849206,0.003156,3.419552,0.011673
797.535278,1.55479,1.849068,0.003129,3.419041,0.01157
799.111816,1.551723,1.848931,0.003101,3.418535,0.011468
800.688293,1.548668,1.848793,0.003074,3.418027,0.011367
802.264587,1.545625,1.848655,0.003047,3.417517,0.011265
803.84082,1.542594,1.84852,0.00302,3.417018,0.011165
805.416931,1.539575,1.848383,0.002993,3.416512,0.011065
806.99292,1.536569,1.848247,0.002966,3.416009,0.010965
808.568726,1.533574,1.848113,0.00294,3.415514,0.010868
810.144531,1.530591,1.847982,0.002915,3.415027,0.010772
811.720154,1.52762,1.847845,0.002888,3.414524,0.010674
813.295654,1.524661,1.847713,0.002863,3.414037,0.010578
814.871033,1.521713,1.847582,0.002837,3.413549,0.010484
816.44635,1.518777,1.847448,0.002812,3.413058,0.010388
818.021484,1.515853,1.847319,0.002787,3.412578,0.010296
819.596497,1.51294,1.847186,0.002761,3.412089,0.010202
821.171509,1.510038,1.847056,0.002737,3.411608,0.01011
822.746216,1.507148,1.846929,0.002713,3.41114,0.01002
824.320923,1.504269,1.846799,0.002688,3.410659,0.009929
825.895508,1.501401,1.846667,0.002663,3.410172,0.009837
827.46991,1.498544,1.84654,0.00264,3.409702,0.009748
829.04425,1.495698,1.846413,0.002616,3.409232,0.00966
830.618347,1.492864,1.846283,0.002592,3.408756,0.00957
832.192505,1.49004,1.846158,0.002569,3.408293,0.009484
833.766418,1.487227,1.84603,0.002545,3.407821,0.009396
835.340149,1.484425,1.845903,0.002522,3.407352,0.009309
836.913879,1.481634,1.845777,0.002498,3.406886,0.009223
838.487427,1.478853,1.845652,0.002476,3.406424,0.009138
840.060852,1.476084,1.845528,0.002453,3.405966,0.009054
841.634155,1.473324,1.845404,0.002431,3.405511,0.008971
843.207336,1.470575,1.845281,0.002409,3.405057,0.008889
844.780396,1.467837,1.845156,0.002386,3.404594,0.008805
846.353333,1.465109,1.845034,0.002364,3.404146,0.008724
847.926147,1.462391,1.844911,0.002342,3.403689,0.008642
849.49884,1.459684,1.844791,0.002321,3.40325,0.008563
851.071411,1.456987,1.844669,0.002299,3.402798,0.008483
852.643738,1.4543,1.844547,0.002278,3.402349,0.008403
854.216003,1.451623,1.844426,0.002257,3.401903,0.008324
855.788208,1.448957,1.844306,0.002236,3.401461,0.008246
857.360229,1.4463,1.844183,0.002214,3.401006,0.008167
858.932129,1.443653,1.844064,0.002194,3.400568,0.00809
860.503906,1.441016,1.843943,0.002173,3.40012,0.008012
862.0755,1.438389,1.843826,0.002152,3.39969,0.007938
863.646973,1.435772,1.843706,0.002132,3.399247,0.007861
865.218384,1.433164,1.843591,0.002112,3.398823,0.007788
866.789673,1.430566,1.843472,0.002092,3.398386,0.007713
868.360718,1.427978,1.843355,0.002072,3.397952,0.00764
869.931763,1.425399,1.843238,0.002052,3.397521,0.007566
871.502563,1.42283,1.843122,0.002033,3.397093,0.007494
873.073242,1.42027,1.843002,0.002013,3.396651,0.00742
874.64386,1.41772,1.842887,0.001994,3.396229,0.007349
876.214233,1.415179,1.842773,0.001975,3.39581,0.007279
877.784546,1.412647,1.842656,0.001956,3.395377,0.007207
879.354675,1.410125,1.842544,0.001937,3.394963,0.007138
880.924683,1.407612,1.842428,0.001918,3.394536,0.007068
882.494629,1.405108,1.842313,0.001899,3.394112,0.006999
884.064331,1.402613,1.842198,0.001881,3.393691,0.00693
885.633972,1.400127,1.842084,0.001862,3.393272,0.006862
887.20343,1.39765,1.841972,0.001844,3.392856,0.006794
888.772766,1.395182,1.841859,0.001826,3.392443,0.006728
890.34198,1.392723,1.841748,0.001809,3.392032,0.006662
891.911011,1.390273,1.841633,0.00179,3.391609,0.006594
893.47998,1.387832,1.841523,0.001773,3.391203,0.00653
895.048706,1.385399,1.841414,0.001756,3.390801,0.006466
896.617371,1.382976,1.841301,0.001738,3.390387,0.006401
898.185913,1.380561,1.841189,0.001721,3.389973,0.006336
899.754272,1.378154,1.841081,0.001704,3.389577,0.006274
901.322449,1.375756,1.840971,0.001687,3.389171,0.006211
902.890503,1.373367,1.840861,0.00167,3.388765,0.006148
904.458496,1.370986,1.840751,0.001653,3.388362,0.006086
906.026245,1.368614,1.840642,0.001636,3.387962,0.006024
907.593933,1.36625,1.84053,0.001619,3.38755,0.005961
909.161438,1.363894,1.840422,0.001603,3.387151,0.005901
910.728821,1.361547,1.840316,0.001587,3.386759,0.005841
912.296021,1.359208,1.840206,0.001571,3.386355,0.005781
913.863098,1.356877,1.8401,0.001555,3.385964,0.005722
915.429993,1.354555,1.839991,0.001539,3.385566,0.005663
916.996765,1.35224,1.839886,0.001523,3.385179,0.005605
918.563354,1.349934,1.839779,0.001508,3.384786,0.005547
920.129883,1.347636,1.839672,0.001492,3.384391,0.005489
921.696289,1.345345,1.839566,0.001476,3.383999,0.005432
923.26239,1.343063,1.83946,0.001461,3.383609,0.005375
924.828491,1.340789,1.839354,0.001446,3.383222,0.005319
926.394409,1.338523,1.83925,0.001431,3.382837,0.005264
927.960144,1.336264,1.839142,0.001416,3.382442,0.005207
929.525757,1.334014,1.839038,0.001401,3.382057,0.005152
931.091187,1.331771,1.838935,0.001386,3.381679,0.005098
932.656555,1.329535,1.838829,0.001371,3.381291,0.005044
934.22168,1.327308,1.838727,0.001357,3.380913,0.00499
935.786621,1.325088,1.838622,0.001343,3.380531,0.004937
937.35144,1.322876,1.838518,0.001328,3.380145,0.004883
938.916199,1.320672,1.838413,0.001314,3.379762,0.00483
940.480774,1.318475,1.838313,0.0013,3.379392,0.004779
942.045105,1.316285,1.838211,0.001286,3.379019,0.004728
943.609375,1.314103,1.838109,0.001272,3.378643,0.004677
945.173523,1.311928,1.838007,0.001258,3.378269,0.004626
946.737427,1.309761,1.837903,0.001244,3.377886,0.004574
948.301147,1.307601,1.837801,0.001231,3.37751,0.004524
949.864868,1.305449,1.837701,0.001217,3.377142,0.004475
951.428345,1.303304,1.837598,0.001204,3.376766,0.004425
952.991577,1.301166,1.837498,0.001191,3.376396,0.004376
954.55481,1.299035,1.837397,0.001178,3.376025,0.004327
956.117798,1.296911,1.837297,0.001165,3.375659,0.004279
957.680664,1.294795,1.837197,0.001152,3.375292,0.004232
959.243347,1.292686,1.837096,0.001139,3.37492,0.004184
960.805969,1.290583,1.836998,0.001126,3.374561,0.004137
962.368286,1.288488,1.8369,0.001114,3.374201,0.004091
963.930542,1.2864,1.8368,0.001101,3.373835,0.004045
965.492554,1.284319,1.836702,0.001089,3.373471,0.003999
967.054504,1.282244,1.836603,0.001076,3.37311,0.003953
968.616211,1.280177,1.836503,0.001064,3.372742,0.003907
970.177856,1.278116,1.836403,0.001051,3.372376,0.003862
971.739258,1.276062,1.836306,0.00104,3.37202,0.003818
973.300476,1.274016,1.836208,0.001027,3.371659,0.003773
974.861633,1.271975,1.83611,0.001016,3.371299,0.003729
976.422546,1.269942,1.836012,0.001004,3.370941,0.003686
977.983398,1.267915,1.835915,0.000992,3.370584,0.003643
979.544067,1.265895,1.835819,0.000981,3.370231,0.0036
981.104492,1.263882,1.835723,0.000969,3.369879,0.003558
982.664734,1.261875,1.835628,0.000958,3.369529,0.003516
984.224915,1.259875,1.835531,0.000946,3.369173,0.003474
985.784851,1.257881,1.835434,0.000935,3.368818,0.003433
987.344727,1.255894,1.835338,0.000924,3.368465,0.003391
988.904297,1.253913,1.835242,0.000913,3.368114,0.003351
990.463745,1.251939,1.835147,0.000902,3.367765,0.00331
992.023132,1.249971,1.835053,0.000891,3.367418,0.003271
993.582336,1.248009,1.834957,0.00088,3.367066,0.00323
995.141296,1.246054,1.83486,0.000869,3.366711,0.00319
996.700073,1.244105,1.834767,0.000859,3.36637,0.003152
998.258667,1.242163,1.834673,0.000848,3.366024,0.003113
999.8172,1.240227,1.834577,0.000838,3.365672,0.003074
1013.247437,1.223788,1.833774,0.000751,3.362725,0.002756
1016.613953,1.219735,1.833575,0.000731,3.361998,0.00268
1019.981628,1.215708,1.833375,0.00071,3.361263,0.002605
1023.350586,1.211706,1.833176,0.00069,3.360534,0.002531
1026.720581,1.207729,1.83298,0.000671,3.359814,0.002459
1030.091797,1.203776,1.832784,0.000652,3.359098,0.002388
1033.464111,1.199848,1.832587,0.000632,3.358373,0.002318
1036.837646,1.195944,1.832391,0.000614,3.357656,0.002249
1040.21228,1.192064,1.832197,0.000596,3.356945,0.002183
1043.588135,1.188208,1.832004,0.000578,3.356239,0.002117
1046.964966,1.184376,1.831809,0.00056,3.355524,0.002052
1050.342896,1.180567,1.831616,0.000543,3.354816,0.001988
1053.721924,1.176781,1.831424,0.000526,3.354114,0.001926
1057.102051,1.173018,1.831234,0.000509,3.353417,0.001866
