Wavelength (nm),Energy (eV),n,k,e1,e2
1101.137939,1.126108,1.828794,0.000322,3.344487,0.001177
1104.532104,1.122647,1.828612,0.00031,3.343822,0.001132
1107.927368,1.119207,1.828431,0.000298,3.343161,0.001089
1111.323486,1.115787,1.828248,0.000286,3.342489,0.001045
1114.720581,1.112386,1.828065,0.000274,3.341822,0.001003
1118.118652,1.109006,1.827884,0.000263,3.341159,0.000962
1121.517578,1.105645,1.8277,0.000252,3.340487,0.000921
1124.917358,1.102303,1.827521,0.000241,3.339835,0.000883
1128.318115,1.098981,1.82734,0.000231,3.339171,0.000844
1131.719604,1.095678,1.82716,0.000221,3.338513,0.000807
1135.12207,1.092394,1.826981,0.000211,3.337858,0.000771
1138.525391,1.089128,1.826799,0.000201,3.337193,0.000735
1141.929443,1.085881,1.826622,0.000192,3.336548,0.000701
1145.334473,1.082653,1.826442,0.000183,3.335892,0.000667
1148.740356,1.079443,1.826264,0.000174,3.33524,0.000634
1152.146973,1.076252,1.826087,0.000165,3.334594,0.000603
1155.554443,1.073078,1.825911,0.000157,3.333951,0.000572
1158.962646,1.069922,1.825732,0.000148,3.333298,0.000542
1162.371826,1.066784,1.825559,0.000141,3.332664,0.000514
1165.781616,1.063664,1.825382,0.000133,3.332018,0.000485
1169.192139,1.060561,1.825206,0.000126,3.331378,0.000458
1172.603638,1.057476,1.825032,0.000118,3.330742,0.000432
1176.015747,1.054408,1.824858,0.000111,3.330108,0.000407
1179.428589,1.051357,1.824681,0.000105,3.329461,0.000382
1182.842163,1.048322,1.824506,0.000098,3.328823,0.000358
1186.256592,1.045305,1.824337,0.000092,3.328204,0.000336
1189.671631,1.042304,1.824163,0.000086,3.327569,0.000313
1193.087402,1.03932,1.823986,0.00008,3.326923,0.000292
1196.503906,1.036353,1.823815,0.000074,3.326301,0.000271
1199.921143,1.033401,1.823645,0.000069,3.325681,0.000252
1203.338989,1.030466,1.823471,0.000064,3.325047,0.000233
1206.757568,1.027547,1.823298,0.000059,3.324417,0.000215
1210.176636,1.024644,1.823127,0.000054,3.323793,0.000197
1213.596558,1.021756,1.822957,0.00005,3.323172,0.000181
1217.016968,1.018885,1.822787,0.000045,3.322554,0.000165
1220.438232,1.016029,1.822615,0.000041,3.321925,0.00015
1223.859985,1.013188,1.822448,0.000037,3.321315,0.000136
1227.282349,1.010363,1.822276,0.000034,3.320692,0.000122
1230.705322,1.007552,1.822107,0.00003,3.320073,0.00011
1234.128906,1.004757,1.821938,0.000027,3.319458,0.000098
1237.552979,1.001977,1.82177,0.000024,3.318846,0.000086
1240.977783,0.999212,1.8216,0.000021,3.318225,0.000076
1244.403076,0.996462,1.821431,0.000018,3.317612,0.000066
1247.828979,0.993726,1.821263,0.000016,3.317,0.000057
1251.255493,0.991005,1.821096,0.000013,3.316391,0.000048
1254.682373,0.988298,1.820928,0.000011,3.31578,0.000041
1258.109985,0.985605,1.820761,0.000009,3.315172,0.000034
1261.537964,0.982927,1.820595,0.000007,3.314565,0.000027
1264.966553,0.980263,1.820428,0.000006,3.313959,0.000022
1268.39563,0.977613,1.820262,0.000005,3.313354,0.000017
1271.825195,0.974977,1.820096,0.000003,3.312749,0.000012
1275.255249,0.972354,1.81993,0.000002,3.312146,0.000009
1278.685791,0.969746,1.819765,0.000002,3.311546,0.000006
1282.116821,0.967151,1.819601,0.000001,3.310946,0.000003
1285.548218,0.964569,1.819436,0,3.310347,0.000002
1288.980225,0.962001,1.819271,0,3.309748,0
1292.412476,0.959446,1.819108,0,3.309153,0
1295.845337,0.956904,1.818944,0,3.308558,0
1299.278564,0.954376,1.818781,0,3.307964,0
1302.712158,0.95186,1.818618,0,3.307373,0
1306.14624,0.949358,1.818456,0,3.306782,0
1309.580566,0.946868,1.818294,0,3.306192,0
1313.015381,0.944391,1.818132,0,3.305604,0
1316.450562,0.941927,1.81797,0,3.305015,0
1319.886108,0.939475,1.817809,0,3.304428,0
1323.322021,0.937036,1.817647,0,3.303842,0
1326.758301,0.934609,1.817486,0,3.303256,0
1330.194824,0.932194,1.817326,0,3.302672,0
1333.631836,0.929792,1.817165,0,3.302088,0
1337.069092,0.927402,1.817004,0,3.301505,0
1340.506592,0.925023,1.816844,0,3.300923,0
1343.944458,0.922657,1.816684,0,3.300341,0
1347.382568,0.920303,1.816524,0,3.299761,0
1350.821045,0.91796,1.816364,0,3.299179,0
1354.259766,0.915629,1.816205,0,3.298599,0
1357.69873,0.91331,1.816045,0,3.29802,0
1361.137939,0.911002,1.815886,0,3.297442,0
1364.577393,0.908706,1.815726,0,3.296862,0
1368.017212,0.906421,1.815567,0,3.296285,0
1371.457153,0.904148,1.815408,0,3.295707,0
1374.897217,0.901886,1.81525,0,3.295132,0
1378.337646,0.899634,1.815091,0,3.294555,0
1381.778198,0.897394,1.814932,0,3.293979,0
1385.218994,0.895165,1.814774,0,3.293403,0
1388.659912,0.892947,1.814615,0,3.292828,0
1392.101074,0.89074,1.814456,0,3.292251,0
1395.542236,0.888543,1.814298,0,3.291677,0
1398.983765,0.886358,1.81414,0,3.291103,0
1402.425293,0.884183,1.813981,0,3.290528,0
1405.867065,0.882018,1.813823,0,3.289955,0
1409.308838,0.879864,1.813665,0,3.289381,0
1412.750854,0.87772,1.813507,0,3.288808,0
1416.192871,0.875587,1.813349,0,3.288234,0
1419.63501,0.873464,1.813191,0,3.287663,0
1423.077393,0.871351,1.813033,0,3.287089,0
1426.519653,0.869248,1.812875,0,3.286516,0
1429.962036,0.867156,1.812717,0,3.285945,0
1433.404541,0.865073,1.812559,0,3.285372,0
1436.846924,0.863001,1.812402,0,3.284801,0
1440.289551,0.860938,1.812244,0,3.284228,0
1443.732178,0.858885,1.812087,0,3.283658,0
1447.174805,0.856842,1.811929,0,3.283086,0
1450.617432,0.854808,1.811771,0,3.282515,0
1454.060059,0.852785,1.811613,0,3.281942,0
1457.502686,0.85077,1.811456,0,3.281372,0
1460.945313,0.848765,1.811298,0,3.280802,0
1464.387939,0.84677,1.811141,0,3.280231,0
1467.830444,0.844784,1.810983,0,3.27966,0
1471.272949,0.842808,1.810825,0,3.279087,0
1474.715454,0.84084,1.810668,0,3.278518,0
1478.157837,0.838882,1.81051,0,3.277947,0
1481.60022,0.836933,1.810352,0,3.277376,0
1485.04248,0.834993,1.810194,0,3.276804,0
1488.484619,0.833062,1.810037,0,3.276235,0
1491.926636,0.83114,1.809879,0,3.275663,0
1495.368652,0.829227,1.809722,0,3.275093,0
1498.810547,0.827323,1.809564,0,3.274522,0
1502.252197,0.825427,1.809405,0,3.273948,0
1505.693848,0.823541,1.809248,0,3.273378,0
1509.135376,0.821663,1.80909,0,3.272809,0
1512.57666,0.819793,1.808933,0,3.272237,0
1516.017822,0.817932,1.808775,0,3.271666,0
1519.45874,0.81608,1.808617,0,3.271094,0
1522.899536,0.814236,1.808459,0,3.270523,0
1526.340088,0.812401,1.808301,0,3.269951,0
1529.780518,0.810574,1.808142,0,3.269379,0
1533.220703,0.808755,1.807984,0,3.268807,0
1536.660767,0.806945,1.807826,0,3.268236,0
1540.100464,0.805142,1.807668,0,3.267665,0
1543.539917,0.803348,1.80751,0,3.267093,0
1546.979248,0.801562,1.807352,0,3.26652,0
1550.418213,0.799784,1.807193,0,3.265947,0
1553.857056,0.798014,1.807035,0,3.265376,0
1557.295532,0.796252,1.806876,0,3.264801,0
1560.733643,0.794498,1.806717,0,3.264228,0
1564.171631,0.792752,1.806559,0,3.263655,0
1567.609131,0.791013,1.806401,0,3.263083,0
1571.046509,0.789283,1.806242,0,3.26251,0
1574.483521,0.78756,1.806082,0,3.261934,0
1577.920166,0.785845,1.805924,0,3.26136,0
1581.356445,0.784137,1.805765,0,3.260787,0
1584.792358,0.782437,1.805606,0,3.260212,0
1588.227905,0.780744,1.805447,0,3.259638,0
1591.663208,0.779059,1.805288,0,3.259065,0
1595.098022,0.777382,1.805129,0,3.258489,0
1598.532471,0.775711,1.804969,0,3.257915,0
1601.966553,0.774049,1.80481,0,3.257339,0
1605.400269,0.772393,1.80465,0,3.256763,0
1608.833618,0.770745,1.80449,0,3.256186,0
1612.266357,0.769104,1.804331,0,3.25561,0
1615.698853,0.76747,1.804171,0,3.255033,0
1619.130859,0.765843,1.804012,0,3.254458,0
1622.562378,0.764223,1.803852,0,3.253882,0
1625.993408,0.762611,1.803692,0,3.253305,0
1629.424072,0.761005,1.803532,0,3.252727,0
1632.854248,0.759406,1.803372,0,3.25215,0
1636.283813,0.757815,1.803212,0,3.251572,0
1639.712891,0.75623,1.803051,0,3.250992,0
1643.141602,0.754652,1.80289,0,3.250412,0
1646.569702,0.753081,1.802729,0,3.249833,0
1649.997314,0.751516,1.802569,0,3.249256,0
1653.424438,0.749959,1.802408,0,3.248675,0
1656.850952,0.748408,1.802247,0,3.248095,0
1660.276978,0.746863,1.802087,0,3.247517,0
1663.702393,0.745326,1.801925,0,3.246934,0
1667.127197,0.743795,1.801764,0,3.246353,0
1670.551392,0.74227,1.801603,0,3.245774,0
1673.974976,0.740752,1.801441,0,3.24519,0
1677.398071,0.73924,1.80128,0,3.244608,0
1680.820557,0.737735,1.801119,0,3.244028,0
1684.242432,0.736236,1.800957,0,3.243446,0
1687.663696,0.734744,1.800795,0,3.242862,0
