Energy (eV),Wavelength (nm),n,k,e1,e2
1.331771,931.091187,1.499135,0.000003,2.247407,0.000008
1.329535,932.656555,1.499116,0.000003,2.24735,0.000008
1.327308,934.22168,1.499097,0.000003,2.247293,0.000009
1.325088,935.786621,1.499079,0.000003,2.247236,0.000009
1.322876,937.35144,1.49906,0.000003,2.24718,0.000009
1.320672,938.916199,1.499041,0.000003,2.247124,0.000009
1.318475,940.480774,1.499022,0.000003,2.247068,0.000009
1.316285,942.045105,1.499004,0.000003,2.247011,0.000009
1.314103,943.609375,1.498985,0.000003,2.246956,0.000009
1.311928,945.173523,1.498966,0.000003,2.2469,0.000009
1.309761,946.737427,1.498948,0.000003,2.246844,0.000009
1.307601,948.301147,1.498929,0.000003,2.246789,0.000009
1.305449,949.864868,1.498911,0.000003,2.246733,0.000009
1.303304,951.428345,1.498892,0.000003,2.246678,0.000009
1.301166,952.991577,1.498874,0.000003,2.246623,0.000009
1.299035,954.55481,1.498856,0.000003,2.246568,0.000009
1.296911,956.117798,1.498837,0.000003,2.246513,0.000009
1.294795,957.680664,1.498819,0.000003,2.246459,0.000009
1.292686,959.243347,1.498801,0.000003,2.246404,0.000009
1.290583,960.805969,1.498783,0.000003,2.246349,0.000009
1.288488,962.368286,1.498765,0.000003,2.246295,0.000009
1.2864,963.930542,1.498746,0.000003,2.246241,0.000009
1.284319,965.492554,1.498728,0.000003,2.246187,0.000009
1.282244,967.054504,1.49871,0.000003,2.246133,0.000009
1.280177,968.616211,1.498692,0.000003,2.246079,0.000009
1.278116,970.177856,1.498674,0.000003,2.246025,0.000009
1.276062,971.739258,1.498657,0.000003,2.245971,0.000009
1.274016,973.300476,1.498639,0.000003,2.245918,0.000009
1.271975,974.861633,1.498621,0.000003,2.245864,0.000009
1.269942,976.422546,1.498603,0.000003,2.245811,0.000009
1.267915,977.983398,1.498585,0.000003,2.245758,0.000009
1.265895,979.544067,1.498568,0.000003,2.245705,0.000009
1.263882,981.104492,1.49855,0.000003,2.245652,0.000009
1.261875,982.664734,1.498532,0.000003,2.245599,0.000009
1.259875,984.224915,1.498515,0.000003,2.245546,0.000009
1.257881,985.784851,1.498497,0.000003,2.245494,0.00001
1.255894,987.344727,1.49848,0.000003,2.245441,0.00001
1.253913,988.904297,1.498462,0.000003,2.245389,0.00001
1.251939,990.463745,1.498445,0.000003,2.245337,0.00001
1.249971,992.023132,1.498427,0.000003,2.245284,0.00001
1.248009,993.582336,1.49841,0.000003,2.245232,0.00001
1.246054,995.141296,1.498393,0.000003,2.24518,0.00001
1.244105,996.700073,1.498375,0.000003,2.245128,0.00001
1.242163,998.258667,1.498358,0.000003,2.245076,0.00001
1.240227,999.8172,1.498341,0.000003,2.245025,0.00001
1.223788,1013.247437,1.498193,0.000003,2.244583,0.00001
1.219735,1016.613953,1.498157,0.000003,2.244473,0.00001
1.215708,1019.981628,1.49812,0.000003,2.244364,0.00001
1.211706,1023.350586,1.498084,0.000003,2.244255,0.00001
1.207729,1026.720581,1.498048,0.000003,2.244147,0.00001
1.203776,1030.091797,1.498011,0.000003,2.244038,0.00001
1.199848,1033.464111,1.497975,0.000003,2.24393,0.00001
1.195944,1036.837646,1.497939,0.000003,2.243823,0.00001
1.192064,1040.21228,1.497904,0.000003,2.243715,0.00001
1.188208,1043.588135,1.497868,0.000003,2.243608,0.00001
1.184376,1046.964966,1.497832,0.000003,2.243502,0.00001
1.180567,1050.342896,1.497797,0.000003,2.243395,0.00001
1.176781,1053.721924,1.497761,0.000003,2.243289,0.00001
1.173018,1057.102051,1.497726,0.000003,2.243183,0.00001
1.169278,1060.483154,1.497691,0.000004,2.243078,0.00001
1.165561,1063.865479,1.497656,0.000004,2.242972,0.000011
1.161866,1067.248779,1.497621,0.000004,2.242867,0.000011
1.158193,1070.633057,1.497586,0.000004,2.242763,0.000011
