Energy (eV),Wavelength (nm),n,k,e1,e2
2.383568,520.228638,1.461315,0,2.135442,0
2.376302,521.819092,1.461239,0,2.13522,0
2.369082,523.409546,1.461163,0,2.134997,0
2.361905,524.999939,1.461087,0,2.134776,0
2.354772,526.590332,1.461012,0,2.134555,0
2.347682,528.180603,1.460936,0,2.134333,0
2.340634,529.770874,1.46086,0,2.134113,0
2.333629,531.361145,1.460784,0,2.13389,0
2.326667,532.951294,1.460708,0,2.133669,0
2.319746,534.541382,1.460632,0,2.133446,0
2.312865,536.13147,1.460556,0,2.133224,0
2.306026,537.721558,1.460481,0,2.133004,0
2.299228,539.311523,1.460405,0,2.132782,0
2.292469,540.901489,1.460328,0,2.132557,0
2.285751,542.491333,1.460253,0,2.132338,0
2.279072,544.081177,1.460177,0,2.132116,0
2.272432,545.671021,1.460102,0,2.131898,0
2.265831,547.260681,1.460034,0,2.131699,0
2.259268,548.850403,1.45997,0,2.131514,0
2.252743,550.440063,1.459908,0,2.13133,0
2.246256,552.029663,1.459844,0,2.131146,0
2.239807,553.619141,1.45978,0,2.130959,0
2.233395,555.208618,1.459718,0,2.130776,0
2.227019,556.798035,1.459655,0,2.130592,0
2.22068,558.387451,1.459591,0,2.130406,0
2.214378,559.976746,1.459527,0,2.13022,0
2.208111,561.56604,1.459464,0,2.130036,0
2.20188,563.155212,1.459402,0,2.129853,0
2.195684,564.744385,1.459338,0,2.129668,0
2.189523,566.333496,1.459274,0,2.129482,0
2.183396,567.922546,1.459212,0,2.129299,0
2.177305,569.511536,1.459148,0,2.129114,0
2.171247,571.100464,1.459085,0,2.12893,0
2.165223,572.689331,1.459022,0,2.128744,0
2.159232,574.278198,1.458958,0,2.128559,0
2.153275,575.866943,1.458895,0,2.128376,0
2.147351,577.455688,1.458834,0,2.128197,0
2.14146,579.044312,1.458777,0,2.12803,0
2.135601,580.632874,1.45872,0,2.127864,0
2.129774,582.221375,1.458663,0,2.127697,0
2.123979,583.809875,1.458607,0,2.127534,0
2.118216,585.398315,1.458549,0,2.127366,0
2.112484,586.986633,1.458493,0,2.127202,0
2.106784,588.57489,1.458437,0,2.127038,0
2.101114,590.163147,1.458384,0,2.126884,0
2.095475,591.751343,1.458333,0,2.126737,0
2.089866,593.339417,1.458284,0,2.126591,0
2.084288,594.927429,1.458234,0,2.126447,0
2.078739,596.515442,1.458185,0,2.126303,0
2.07322,598.103394,1.458135,0,2.126158,0
2.067731,599.691223,1.458086,0,2.126014,0
2.062271,601.278992,1.458036,0,2.12587,0
2.056839,602.866699,1.457987,0,2.125727,0
2.051437,604.454407,1.457938,0,2.125583,0
2.046063,606.041931,1.457888,0,2.125439,0
2.040717,607.629517,1.457838,0,2.125293,0
2.0354,609.216919,1.457788,0,2.125147,0
2.03011,610.804321,1.457739,0,2.125003,0
2.024848,612.391663,1.45769,0,2.124859,0
2.019613,613.978943,1.457641,0,2.124716,0
2.014406,615.566101,1.457591,0,2.124572,0
2.009225,617.153259,1.457542,0,2.124427,0
2.004072,618.740295,1.457492,0,2.124284,0
1.998945,620.327271,1.457443,0,2.124139,0
1.993844,621.914185,1.457393,0,2.123994,0
1.98877,623.501099,1.457343,0,2.12385,0
1.983721,625.08783,1.457294,0,2.123704,0
1.978698,626.674561,1.457244,0,2.123561,0
1.973701,628.261169,1.457195,0,2.123417,0
1.96873,629.847778,1.457146,0,2.123273,0
1.963783,631.434204,1.457096,0,2.123128,0
1.958862,633.02063,1.457047,0,2.122984,0
1.953965,634.606995,1.456997,0,2.122841,0
1.949093,636.193237,1.456948,0,2.122697,0
1.944246,637.779419,1.456898,0,2.122551,0
1.939422,639.365601,1.456849,0,2.122408,0
1.934623,640.95166,1.456799,0,2.122264,0
1.929848,642.537659,1.45675,0,2.122121,0
1.925097,644.123535,1.456703,0,2.121984,0
1.920369,645.709351,1.45666,0,2.121859,0
1.915664,647.295105,1.456619,0,2.121738,0
1.910983,648.880737,1.456577,0,2.121616,0
1.906325,650.46637,1.456535,0,2.121494,0
1.901689,652.05188,1.456493,0,2.121373,0
1.897076,653.637329,1.456452,0,2.121252,0
1.892486,655.222717,1.45641,0,2.121131,0
1.887918,656.807983,1.456369,0,2.12101,0
1.883373,658.393188,1.456327,0,2.120887,0
1.87885,659.978333,1.456285,0,2.120767,0
1.874348,661.563354,1.456244,0,2.120646,0
1.869868,663.148315,1.456202,0,2.120525,0
